 time            v(inp)          v(inn)          v(out)         
 1.51532800e-02  8.20957915e-04 -8.20957915e-04  8.10098397e-01 
 1.51542800e-02  8.24529314e-04 -8.24529314e-04  8.10463312e-01 
 1.51552800e-02  8.28068163e-04 -8.28068163e-04  8.10818935e-01 
 1.51562800e-02  8.31574320e-04 -8.31574320e-04  8.11172461e-01 
 1.51572800e-02  8.35047648e-04 -8.35047648e-04  8.11516950e-01 
 1.51582800e-02  8.38488011e-04 -8.38488011e-04  8.11859421e-01 
 1.51592800e-02  8.41895271e-04 -8.41895271e-04  8.12193094e-01 
 1.51602800e-02  8.45269294e-04 -8.45269294e-04  8.12524825e-01 
 1.51612800e-02  8.48609948e-04 -8.48609948e-04  8.12847982e-01 
 1.51622800e-02  8.51917100e-04 -8.51917100e-04  8.13169266e-01 
 1.51632800e-02  8.55190620e-04 -8.55190620e-04  8.13482190e-01 
 1.51642800e-02  8.58430378e-04 -8.58430378e-04  8.13793305e-01 
 1.51652800e-02  8.61636247e-04 -8.61636247e-04  8.14096260e-01 
 1.51662800e-02  8.64808100e-04 -8.64808100e-04  8.14397467e-01 
 1.51672800e-02  8.67945812e-04 -8.67945812e-04  8.14690702e-01 
 1.51682800e-02  8.71049259e-04 -8.71049259e-04  8.14982247e-01 
 1.51692800e-02  8.74118318e-04 -8.74118318e-04  8.15265998e-01 
 1.51702800e-02  8.77152869e-04 -8.77152869e-04  8.15548113e-01 
 1.51712800e-02  8.80152791e-04 -8.80152791e-04  8.15822601e-01 
 1.51722800e-02  8.83117966e-04 -8.83117966e-04  8.16095505e-01 
 1.51732800e-02  8.86048277e-04 -8.86048277e-04  8.16360940e-01 
 1.51742800e-02  8.88943609e-04 -8.88943609e-04  8.16624838e-01 
 1.51752800e-02  8.91803847e-04 -8.91803847e-04  8.16881419e-01 
 1.51762800e-02  8.94628877e-04 -8.94628877e-04  8.17136507e-01 
 1.51772800e-02  8.97418590e-04 -8.97418590e-04  8.17384419e-01 
 1.51782800e-02  9.00172874e-04 -9.00172874e-04  8.17630881e-01 
 1.51792800e-02  9.02891620e-04 -9.02891620e-04  8.17870301e-01 
 1.51802800e-02  9.05574722e-04 -9.05574722e-04  8.18108312e-01 
 1.51812800e-02  9.08222073e-04 -9.08222073e-04  8.18339407e-01 
 1.51822800e-02  9.10833569e-04 -9.10833569e-04  8.18569131e-01 
 1.51832800e-02  9.13409108e-04 -9.13409108e-04  8.18792060e-01 
 1.51842800e-02  9.15948586e-04 -9.15948586e-04  8.19013653e-01 
 1.51852800e-02  9.18451904e-04 -9.18451904e-04  8.19228565e-01 
 1.51862800e-02  9.20918963e-04 -9.20918963e-04  8.19442174e-01 
 1.51872800e-02  9.23349666e-04 -9.23349666e-04  8.19649210e-01 
 1.51882800e-02  9.25743917e-04 -9.25743917e-04  8.19854975e-01 
 1.51892800e-02  9.28101621e-04 -9.28101621e-04  8.20054269e-01 
 1.51902800e-02  9.30422685e-04 -9.30422685e-04  8.20252322e-01 
 1.51912800e-02  9.32707018e-04 -9.32707018e-04  8.20444001e-01 
 1.51922800e-02  9.34954529e-04 -9.34954529e-04  8.20634466e-01 
 1.51932800e-02  9.37165129e-04 -9.37165129e-04  8.20818650e-01 
 1.51942800e-02  9.39338732e-04 -9.39338732e-04  8.21001646e-01 
 1.51952800e-02  9.41475251e-04 -9.41475251e-04  8.21178447e-01 
 1.51962800e-02  9.43574603e-04 -9.43574603e-04  8.21354086e-01 
 1.51972800e-02  9.45636704e-04 -9.45636704e-04  8.21523612e-01 
 1.51982800e-02  9.47661472e-04 -9.47661472e-04  8.21692000e-01 
 1.51992800e-02  9.49648829e-04 -9.49648829e-04  8.21854352e-01 
 1.52002800e-02  9.51598695e-04 -9.51598695e-04  8.22015587e-01 
 1.52012800e-02  9.53510994e-04 -9.53510994e-04  8.22170861e-01 
 1.52022800e-02  9.55385650e-04 -9.55385650e-04  8.22325039e-01 
 1.52032800e-02  9.57222588e-04 -9.57222588e-04  8.22473325e-01 
 1.52042800e-02  9.59021737e-04 -9.59021737e-04  8.22620534e-01 
 1.52052800e-02  9.60783026e-04 -9.60783026e-04  8.22761918e-01 
 1.52062800e-02  9.62506385e-04 -9.62506385e-04  8.22902242e-01 
 1.52072800e-02  9.64191745e-04 -9.64191745e-04  8.23036803e-01 
 1.52082800e-02  9.65839041e-04 -9.65839041e-04  8.23170320e-01 
 1.52092800e-02  9.67448207e-04 -9.67448207e-04  8.23298134e-01 
 1.52102800e-02  9.69019180e-04 -9.69019180e-04  8.23424921e-01 
 1.52112800e-02  9.70551898e-04 -9.70551898e-04  8.23546059e-01 
 1.52122800e-02  9.72046300e-04 -9.72046300e-04  8.23666183e-01 
 1.52132800e-02  9.73502327e-04 -9.73502327e-04  8.23780711e-01 
 1.52142800e-02  9.74919922e-04 -9.74919922e-04  8.23894239e-01 
 1.52152800e-02  9.76299029e-04 -9.76299029e-04  8.24002220e-01 
 1.52162800e-02  9.77639593e-04 -9.77639593e-04  8.24109213e-01 
 1.52172800e-02  9.78941562e-04 -9.78941562e-04  8.24210705e-01 
 1.52182800e-02  9.80204884e-04 -9.80204884e-04  8.24311219e-01 
 1.52192800e-02  9.81429509e-04 -9.81429509e-04  8.24406277e-01 
 1.52202800e-02  9.82615389e-04 -9.82615389e-04  8.24500367e-01 
 1.52212800e-02  9.83762477e-04 -9.83762477e-04  8.24589041e-01 
 1.52222800e-02  9.84870727e-04 -9.84870727e-04  8.24676754e-01 
 1.52232800e-02  9.85940097e-04 -9.85940097e-04  8.24759091e-01 
 1.52242800e-02  9.86970543e-04 -9.86970543e-04  8.24840475e-01 
 1.52252800e-02  9.87962026e-04 -9.87962026e-04  8.24916517e-01 
 1.52262800e-02  9.88914505e-04 -9.88914505e-04  8.24991614e-01 
 1.52272800e-02  9.89827944e-04 -9.89827944e-04  8.25061401e-01 
 1.52282800e-02  9.90702306e-04 -9.90702306e-04  8.25130249e-01 
 1.52292800e-02  9.91537557e-04 -9.91537557e-04  8.25193818e-01 
 1.52302800e-02  9.92333664e-04 -9.92333664e-04  8.25256451e-01 
 1.52312800e-02  9.93090595e-04 -9.93090595e-04  8.25313835e-01 
 1.52322800e-02  9.93808320e-04 -9.93808320e-04  8.25370286e-01 
 1.52332800e-02  9.94486812e-04 -9.94486812e-04  8.25421513e-01 
 1.52342800e-02  9.95126043e-04 -9.95126043e-04  8.25471811e-01 
 1.52352800e-02  9.95725988e-04 -9.95725988e-04  8.25516908e-01 
 1.52362800e-02  9.96286623e-04 -9.96286623e-04  8.25561077e-01 
 1.52372800e-02  9.96807927e-04 -9.96807927e-04  8.25600067e-01 
 1.52382800e-02  9.97289879e-04 -9.97289879e-04  8.25638130e-01 
 1.52392800e-02  9.97732459e-04 -9.97732459e-04  8.25671033e-01 
 1.52402800e-02  9.98135651e-04 -9.98135651e-04  8.25703008e-01 
 1.52412800e-02  9.98499438e-04 -9.98499438e-04  8.25729841e-01 
 1.52422800e-02  9.98823805e-04 -9.98823805e-04  8.25755744e-01 
 1.52432800e-02  9.99108741e-04 -9.99108741e-04  8.25776520e-01 
 1.52442800e-02  9.99354234e-04 -9.99354234e-04  8.25796364e-01 
 1.52452800e-02  9.99560274e-04 -9.99560274e-04  8.25811095e-01 
 1.52462800e-02  9.99726853e-04 -9.99726853e-04  8.25824889e-01 
 1.52472800e-02  9.99853965e-04 -9.99853965e-04  8.25833581e-01 
 1.52482800e-02  9.99941604e-04 -9.99941604e-04  8.25841333e-01 
 1.52492800e-02  9.99989767e-04 -9.99989767e-04  8.25843991e-01 
 1.52502800e-02  9.99998452e-04 -9.99998452e-04  8.25845704e-01 
