 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.97525197e+01  5.95462808e+03 -5.91104982e+02 -2.35790043e+02  1.33923465e+03  5.29732311e+02  9.67332989e+02  9.13338619e+02 -3.64902564e+03 -3.39224413e+03  5.02913831e+01 -3.33185340e+03 -8.99201045e+01  5.96415395e+03 
 2.51188643e+06  6.84596412e+03  6.04842826e+03 -6.68332685e+02 -1.06062698e+02  1.51137518e+03  2.37752979e+02  1.42964629e+03  4.63825491e+02 -5.33168701e+03 -1.69604342e+03 -3.83041118e+03 -3.38454516e+03  6.85685508e+03  6.05817386e+03 
 2.57039578e+06  6.97084608e+03  5.97027830e+03 -6.69073669e+02 -1.03759409e+02  1.51302371e+03  2.32581056e+02  1.43445292e+03  4.54252004e+02 -5.34871799e+03 -1.66062143e+03 -3.90028584e+03 -3.34082573e+03  6.98193621e+03  5.97990178e+03 
 2.63026799e+06  7.09209586e+03  5.89076723e+03 -6.69782838e+02 -1.01501011e+02  1.51460140e+03  2.27510109e+02  1.43905977e+03  4.44832398e+02 -5.36502740e+03 -1.62579169e+03 -3.96812821e+03 -3.29634489e+03  7.10337937e+03  5.90026647e+03 
 2.69153480e+06  7.20974121e+03  5.81005941e+03 -6.70461495e+02 -9.92869525e+01  1.51611116e+03  2.22538875e+02  1.44347444e+03  4.35567099e+02 -5.38064367e+03 -1.59155435e+03 -4.03395381e+03 -3.25119460e+03  7.22121235e+03  5.81943256e+03 
 2.75422870e+06  7.32381645e+03  5.72831278e+03 -6.71110891e+02 -9.71166660e+01  1.51755578e+03  2.17666055e+02  1.44770431e+03  4.26456288e+02 -5.39559431e+03 -1.55790872e+03 -4.09778184e+03 -3.20546323e+03  7.33546952e+03  5.73755825e+03 
 2.81838293e+06  7.43436188e+03  5.64567879e+03 -6.71732236e+02 -9.49895684e+01  1.51893795e+03  2.12890322e+02  1.45175651e+03  4.17499929e+02 -5.40990593e+03 -1.52485331e+03 -4.15963485e+03 -3.15923553e+03  7.44619126e+03  5.65479521e+03 
 2.88403150e+06  7.54142325e+03  5.56230229e+03 -6.72326691e+02 -9.29050646e+01  1.52026027e+03  2.08210318e+02  1.45563797e+03  4.08697777e+02 -5.42360422e+03 -1.49238594e+03 -4.21953844e+03 -3.11259254e+03  7.55342338e+03  5.57128852e+03 
 2.95120923e+06  7.64505116e+03  5.47832147e+03 -6.72895373e+02 -9.08625487e+01  1.52152523e+03  2.03624664e+02  1.45935540e+03  4.00049398e+02 -5.43671402e+03 -1.46050375e+03 -4.27752093e+03 -3.06561161e+03  7.65721657e+03  5.48717663e+03 
 3.01995172e+06  7.74530057e+03  5.39386794e+03 -6.73439360e+02 -8.88614059e+01  1.52273521e+03  1.99131964e+02  1.46291527e+03  3.91554184e+02 -5.44925926e+03 -1.42920330e+03 -4.33361307e+03 -3.01836637e+03  7.75762587e+03  5.40259133e+03 
 3.09029543e+06  7.84223030e+03  5.30906668e+03 -6.73959684e+02 -8.69010138e+01  1.52389254e+03  1.94730804e+02  1.46632384e+03  3.83211364e+02 -5.46126307e+03 -1.39848057e+03 -4.38784775e+03 -2.97092674e+03  7.85471019e+03  5.31765780e+03 
 3.16227766e+06  7.93590251e+03  5.22403611e+03 -6.74457342e+02 -8.49807440e+01  1.52499943e+03  1.90419756e+02  1.46958717e+03  3.75020023e+02 -5.47274770e+03 -1.36833106e+03 -4.44025978e+03 -2.92335900e+03  7.94853180e+03  5.23249467e+03 
 3.23593657e+06  8.02638231e+03  5.13888822e+03 -6.74933287e+02 -8.30999635e+01  1.52605799e+03  1.86197387e+02  1.47271109e+03  3.66979107e+02 -5.48373463e+03 -1.33874983e+03 -4.49088556e+03 -2.87572582e+03  8.03915592e+03  5.14721410e+03 
 3.31131121e+06  8.11373728e+03  5.05372862e+03 -6.75388439e+02 -8.12580356e+01  1.52707029e+03  1.82062252e+02  1.47570125e+03  3.59087442e+02 -5.49424451e+03 -1.30973152e+03 -4.53976293e+03 -2.82808629e+03  8.12665021e+03  5.06192186e+03 
 3.38844156e+06  8.19803709e+03  4.96865670e+03 -6.75823679e+02 -7.94543216e+01  1.52803828e+03  1.78012905e+02  1.47856308e+03  3.51343741e+02 -5.50429725e+03 -1.28127038e+03 -4.58693086e+03 -2.78049602e+03  8.21108447e+03  4.97671752e+03 
 3.46736850e+06  8.27935311e+03  4.88376578e+03 -6.76239854e+02 -7.76881813e+01  1.52896385e+03  1.74047896e+02  1.48130182e+03  3.43746616e+02 -5.51391197e+03 -1.25336038e+03 -4.63242928e+03 -2.73300724e+03  8.29253019e+03  4.89169454e+03 
 3.54813389e+06  8.35775807e+03  4.79914323e+03 -6.76637777e+02 -7.59589744e+01  1.52984880e+03  1.70165778e+02  1.48392252e+03  3.36294586e+02 -5.52310708e+03 -1.22599515e+03 -4.67629889e+03 -2.68566884e+03  8.37106020e+03  4.80694042e+03 
 3.63078055e+06  8.43332574e+03  4.71487066e+03 -6.77018227e+02 -7.42660613e+01  1.53069489e+03  1.66365103e+02  1.48643004e+03  3.28986089e+02 -5.53190029e+03 -1.19916809e+03 -4.71858096e+03 -2.63852649e+03  8.44674840e+03  4.72253692e+03 
 3.71535229e+06  8.50613061e+03  4.63102413e+03 -6.77381954e+02 -7.26088037e+01  1.53150377e+03  1.62644429e+02  1.48882908e+03  3.21819491e+02 -5.54030861e+03 -1.17287235e+03 -4.75931718e+03 -2.59162274e+03  8.51966939e+03  4.63856022e+03 
 3.80189396e+06  8.57624761e+03  4.54767429e+03 -6.77729676e+02 -7.09865658e+01  1.53227704e+03  1.59002318e+02  1.49112414e+03  3.14793088e+02 -5.54834837e+03 -1.14710090e+03 -4.79854946e+03 -2.54499713e+03  8.58989822e+03  4.55508107e+03 
 3.89045145e+06  8.64375186e+03  4.46488659e+03 -6.78062081e+02 -6.93987146e+01  1.53301624e+03  1.55437341e+02  1.49331954e+03  3.07905122e+02 -5.55603528e+03 -1.12184653e+03 -4.83631984e+03 -2.49868630e+03  8.65751014e+03  4.47216505e+03 
 3.98107171e+06  8.70871846e+03  4.38272149e+03 -6.78379830e+02 -6.78446207e+01  1.53372283e+03  1.51948077e+02  1.49541948e+03  3.01153782e+02 -5.56338439e+03 -1.09710186e+03 -4.87267035e+03 -2.45272409e+03  8.72258036e+03  4.38987270e+03 
 4.07380278e+06  8.77122222e+03  4.30123467e+03 -6.78683555e+02 -6.63236589e+01  1.53439823e+03  1.48533114e+02  1.49742794e+03  2.94537215e+02 -5.57041018e+03 -1.07285943e+03 -4.90764283e+03 -2.40714163e+03  8.78518381e+03  4.30825980e+03 
 4.16869383e+06  8.83133752e+03  4.22047720e+03 -6.78973865e+02 -6.48352088e+01  1.53504379e+03  1.45191052e+02  1.49934880e+03  2.88053527e+02 -5.57712653e+03 -1.04911164e+03 -4.94127891e+03 -2.36196752e+03  8.84539500e+03  4.22737750e+03 
 4.26579519e+06  8.88913812e+03  4.14049575e+03 -6.79251340e+02 -6.33786552e+01  1.53566080e+03  1.41920502e+02  1.50118574e+03  2.81700793e+02 -5.58354674e+03 -1.02585081e+03 -4.97361985e+03 -2.31722789e+03  8.90328779e+03  4.14727255e+03 
 4.36515832e+06  8.94469699e+03  4.06133284e+03 -6.79516539e+02 -6.19533885e+01  1.53625050e+03  1.38720090e+02  1.50294234e+03  2.75477062e+02 -5.58968361e+03 -1.00306922e+03 -5.00470649e+03 -2.27294651e+03  8.95893527e+03  4.06798753e+03 
 4.46683592e+06  8.99808618e+03  3.98302697e+03 -6.79769995e+02 -6.05588051e+01  1.53681408e+03  1.35588454e+02  1.50462199e+03  2.69380359e+02 -5.59554936e+03 -9.80759066e+02 -5.03457913e+03 -2.22914495e+03  9.01240962e+03  3.98956101e+03 
 4.57088190e+06  9.04937670e+03  3.90561286e+03 -6.80012220e+02 -5.91943079e+01  1.53735268e+03  1.32524248e+02  1.50622799e+03  2.63408692e+02 -5.60115576e+03 -9.58912538e+02 -5.06327753e+03 -2.18584264e+03  9.06378195e+03  3.91202777e+03 
 4.67735141e+06  9.09863842e+03  3.82912164e+03 -6.80243704e+02 -5.78593063e+01  1.53786740e+03  1.29526139e+02  1.50776347e+03  2.57560056e+02 -5.60651404e+03 -9.37521795e+02 -5.09084075e+03 -2.14305700e+03  9.11312225e+03  3.83541899e+03 
 4.78630092e+06  9.14593996e+03  3.75358104e+03 -6.80464917e+02 -5.65532169e+01  1.53835927e+03  1.26592814e+02  1.50923147e+03  2.51832437e+02 -5.61163501e+03 -9.16578993e+02 -5.11730720e+03 -2.10080355e+03  9.16049924e+03  3.75976244e+03 
 4.89778819e+06  9.19134862e+03  3.67901555e+03 -6.80676308e+02 -5.52754634e+01  1.53882929e+03  1.23722973e+02  1.51063487e+03  2.46223813e+02 -5.61652899e+03 -8.96076296e+02 -5.14271454e+03 -2.05909601e+03  9.20598033e+03  3.68508267e+03 
 5.01187234e+06  9.23493031e+03  3.60544665e+03 -6.80878307e+02 -5.40254770e+01  1.53927843e+03  1.20915334e+02  1.51197645e+03  2.40732163e+02 -5.62120588e+03 -8.76005881e+02 -5.16709964e+03 -2.01794641e+03  9.24963153e+03  3.61140119e+03 
 5.12861384e+06  9.27674947e+03  3.53289295e+03 -6.81071326e+02 -5.28026965e+01  1.53970760e+03  1.18168632e+02  1.51325889e+03  2.35355463e+02 -5.62567518e+03 -8.56359957e+02 -5.19049856e+03 -1.97736514e+03  9.29151740e+03  3.53873662e+03 
 5.24807460e+06  9.31686908e+03  3.46137034e+03 -6.81255761e+02 -5.16065684e+01  1.54011767e+03  1.15481620e+02  1.51448473e+03  2.30091696e+02 -5.62994596e+03 -8.37130765e+02 -5.21294654e+03 -1.93736114e+03  9.33170100e+03  3.46710491e+03 
 5.37031796e+06  9.35535055e+03  3.39089223e+03 -6.81431987e+02 -5.04365472e+01  1.54050950e+03  1.12853070e+02  1.51565642e+03  2.24938847e+02 -5.63402693e+03 -8.18310595e+02 -5.23447794e+03 -1.89794189e+03  9.37024385e+03  3.39651946e+03 
 5.49540874e+06  9.39225376e+03  3.32146961e+03 -6.81600367e+02 -4.92920956e+01  1.54088387e+03  1.10281770e+02  1.51677632e+03  2.19894913e+02 -5.63792640e+03 -7.99891786e+02 -5.25512626e+03 -1.85911355e+03  9.40720593e+03  3.32699131e+03 
 5.62341325e+06  9.42763699e+03  3.25311127e+03 -6.81761246e+02 -4.81726841e+01  1.54124156e+03  1.07766528e+02  1.51784667e+03  2.14957899e+02 -5.64165235e+03 -7.81866736e+02 -5.27492411e+03 -1.82088107e+03  9.44264559e+03  3.25852926e+03 
 5.75439937e+06  9.46155692e+03  3.18582394e+03 -6.81914955e+02 -4.70777916e+01  1.54158331e+03  1.05306170e+02  1.51886962e+03  2.10125823e+02 -5.64521242e+03 -7.64227911e+02 -5.29390321e+03 -1.78324821e+03  9.47661963e+03  3.19114005e+03 
