 frequency       v(finalp,finaln) v(finalp,finaln)
 8.51138038e+09 -1.43349571e+03  9.14560704e+02 
 8.70963590e+09 -1.42143746e+03  9.33539740e+02 
 8.91250938e+09 -1.40884343e+03  9.52815737e+02 
 9.12010839e+09 -1.39568987e+03  9.72386024e+02 
 9.33254301e+09 -1.38195199e+03  9.92247148e+02 
 9.54992586e+09 -1.36760391e+03  1.01239479e+03 
 9.77237221e+09 -1.35261864e+03  1.03282370e+03 
 1.00000000e+10 -1.33696802e+03  1.05352755e+03 
 1.02329299e+10 -1.32062269e+03  1.07449891e+03 
 1.04712855e+10 -1.30355208e+03  1.09572905e+03 
 1.07151931e+10 -1.28572431e+03  1.11720789e+03 
 1.09647820e+10 -1.26710624e+03  1.13892383e+03 
 1.12201845e+10 -1.24766338e+03  1.16086360e+03 
 1.14815362e+10 -1.22735989e+03  1.18301214e+03 
 1.17489755e+10 -1.20615856e+03  1.20535238e+03 
 1.20226443e+10 -1.18402079e+03  1.22786512e+03 
 1.23026877e+10 -1.16090658e+03  1.25052875e+03 
 1.25892541e+10 -1.13677455e+03  1.27331913e+03 
 1.28824955e+10 -1.11158193e+03  1.29620926e+03 
 1.31825674e+10 -1.08528460e+03  1.31916912e+03 
 1.34896288e+10 -1.05783710e+03  1.34216531e+03 
 1.38038426e+10 -1.02919276e+03  1.36516085e+03 
 1.41253754e+10 -9.99303664e+02  1.38811479e+03 
 1.44543977e+10 -9.68120857e+02  1.41098191e+03 
 1.47910839e+10 -9.35594407e+02  1.43371236e+03 
 1.51356125e+10 -9.01673584e+02  1.45625125e+03 
 1.54881662e+10 -8.66307054e+02  1.47853828e+03 
 1.58489319e+10 -8.29443118e+02  1.50050727e+03 
 1.62181010e+10 -7.91029995e+02  1.52208572e+03 
 1.65958691e+10 -7.51016160e+02  1.54319432e+03 
 1.69824365e+10 -7.09350758e+02  1.56374643e+03 
 1.73780083e+10 -6.65984070e+02  1.58364758e+03 
 1.77827941e+10 -6.20868080e+02  1.60279489e+03 
 1.81970086e+10 -5.73957120e+02  1.62107657e+03 
 1.86208714e+10 -5.25208626e+02  1.63837129e+03 
 1.90546072e+10 -4.74584010e+02  1.65454767e+03 
 1.94984460e+10 -4.22049654e+02  1.66946374e+03 
 1.99526231e+10 -3.67578058e+02  1.68296638e+03 
 2.04173794e+10 -3.11149127e+02  1.69489090e+03 
 2.08929613e+10 -2.52751646e+02  1.70506061e+03 
 2.13796209e+10 -1.92384922e+02  1.71328649e+03 
 2.18776162e+10 -1.30060631e+02  1.71936704e+03 
 2.23872114e+10 -6.58048555e+01  1.72308819e+03 
 2.29086765e+10  3.39654353e-01  1.72422351e+03 
 2.34422882e+10  6.83110222e+01  1.72253455e+03 
 2.39883292e+10  1.38025575e+02  1.71777160e+03 
 2.45470892e+10  2.09374985e+02  1.70967474e+03 
 2.51188643e+10  2.82223241e+02  1.69797529e+03 
 2.57039578e+10  3.56403495e+02  1.68239779e+03 
 2.63026799e+10  4.31714826e+02  1.66266262e+03 
 2.69153480e+10  5.07919005e+02  1.63848907e+03 
 2.75422870e+10  5.84737342e+02  1.60959936e+03 
 2.81838293e+10  6.61847745e+02  1.57572326e+03 
 2.88403150e+10  7.38882119e+02  1.53660361e+03 
 2.95120923e+10  8.15424287e+02  1.49200275e+03 
 3.01995172e+10  8.91008617e+02  1.44170972e+03 
 3.09029543e+10  9.65119581e+02  1.38554841e+03 
 3.16227766e+10  1.03719247e+03  1.32338637e+03 
 3.23593657e+10  1.10661552e+03  1.25514434e+03 
 3.31131121e+10  1.17273366e+03  1.18080614e+03 
 3.38844156e+10  1.23485421e+03  1.10042878e+03 
 3.46736850e+10  1.29225448e+03  1.01415241e+03 
 3.54813389e+10  1.34419173e+03  9.22209625e+02 
 3.63078055e+10  1.38991521e+03  8.24933855e+02 
 3.71535229e+10  1.42868049e+03  7.22766090e+02 
 3.80189396e+10  1.45976572e+03  6.16259600e+02 
 3.89045145e+10  1.48248960e+03  5.06082037e+02 
 3.98107171e+10  1.49623066e+03  3.93014461e+02 
