 time            v(finalp)       v(finaln)      
 1.38050000e-10  2.72695433e+00  2.87061813e+00 
 1.39050000e-10  2.71866924e+00  2.87813601e+00 
 1.40050000e-10  2.71100834e+00  2.88508460e+00 
 1.41050000e-10  2.70410664e+00  2.89134952e+00 
 1.42050000e-10  2.69805458e+00  2.89685363e+00 
 1.43050000e-10  2.69290037e+00  2.90155556e+00 
 1.44050000e-10  2.68865438e+00  2.90544663e+00 
 1.45050000e-10  2.68529488e+00  2.90854663e+00 
 1.46050000e-10  2.68277419e+00  2.91089873e+00 
 1.47050000e-10  2.68102495e+00  2.91256407e+00 
 1.48050000e-10  2.67996596e+00  2.91361633e+00 
 1.49050000e-10  2.67950758e+00  2.91413664e+00 
 1.50050000e-10  2.67955634e+00  2.91420914e+00 
 1.51050000e-10  2.68001894e+00  2.91391718e+00 
 1.52050000e-10  2.68080545e+00  2.91334038e+00 
 1.53050000e-10  2.68183183e+00  2.91255234e+00 
 1.54050000e-10  2.68302174e+00  2.91161922e+00 
 1.55050000e-10  2.68430781e+00  2.91059876e+00 
 1.56050000e-10  2.68563226e+00  2.90954003e+00 
 1.57050000e-10  2.68694713e+00  2.90848339e+00 
 1.58050000e-10  2.68821409e+00  2.90746098e+00 
 1.59000000e-10  2.68934689e+00  2.90654346e+00 
 1.59100000e-10  2.68946150e+00  2.90645049e+00 
 1.59300000e-10  2.68968817e+00  2.90626644e+00 
 1.59650000e-10  2.69007543e+00  2.90595217e+00 
 1.60000000e-10  2.69044964e+00  2.90564848e+00 
 1.60070000e-10  2.69052265e+00  2.90558921e+00 
 1.60210000e-10  2.69066700e+00  2.90547175e+00 
 1.60490000e-10  2.69094874e+00  2.90524212e+00 
 1.61050000e-10  2.69148348e+00  2.90480497e+00 
 1.62050000e-10  2.69234102e+00  2.90409807e+00 
 1.63050000e-10  2.69309748e+00  2.90346822e+00 
 1.64050000e-10  2.69382470e+00  2.90285609e+00 
 1.65050000e-10  2.69465177e+00  2.90214660e+00 
 1.66050000e-10  2.69576122e+00  2.90117253e+00 
 1.67050000e-10  2.69736576e+00  2.89973502e+00 
 1.68050000e-10  2.69967774e+00  2.89763222e+00 
 1.69050000e-10  2.70287563e+00  2.89468877e+00 
 1.70050000e-10  2.70707600e+00  2.89078153e+00 
 1.71050000e-10  2.71231718e+00  2.88585721e+00 
 1.72050000e-10  2.71855641e+00  2.87994008e+00 
 1.73050000e-10  2.72567809e+00  2.87312987e+00 
 1.74050000e-10  2.73350964e+00  2.86559103e+00 
 1.75050000e-10  2.74184049e+00  2.85753584e+00 
 1.76050000e-10  2.75044113e+00  2.84920404e+00 
 1.77050000e-10  2.75907993e+00  2.84084215e+00 
 1.78050000e-10  2.76753681e+00  2.83268494e+00 
 1.79050000e-10  2.77561377e+00  2.82494080e+00 
