 frequency       v(finalp,finaln) v(finalp,finaln)
 2.69153480e+07 -2.07691664e+03  6.71178238e+00 
 2.75422870e+07 -2.07691632e+03  6.91549691e+00 
 2.81838293e+07 -2.07691599e+03  7.12288056e+00 
 2.88403150e+07 -2.07691564e+03  7.33404347e+00 
 2.95120923e+07 -2.07691527e+03  7.54909779e+00 
 3.01995172e+07 -2.07691488e+03  7.76815773e+00 
 3.09029543e+07 -2.07691447e+03  7.99133965e+00 
 3.16227766e+07 -2.07691404e+03  8.21876212e+00 
 3.23593657e+07 -2.07691358e+03  8.45054596e+00 
 3.31131121e+07 -2.07691311e+03  8.68681432e+00 
 3.38844156e+07 -2.07691261e+03  8.92769276e+00 
 3.46736850e+07 -2.07691208e+03  9.17330929e+00 
 3.54813389e+07 -2.07691153e+03  9.42379445e+00 
 3.63078055e+07 -2.07691095e+03  9.67928140e+00 
 3.71535229e+07 -2.07691034e+03  9.93990596e+00 
 3.80189396e+07 -2.07690970e+03  1.02058067e+01 
 3.89045145e+07 -2.07690903e+03  1.04771250e+01 
 3.98107171e+07 -2.07690832e+03  1.07540053e+01 
 4.07380278e+07 -2.07690758e+03  1.10365946e+01 
 4.16869383e+07 -2.07690680e+03  1.13250436e+01 
 4.26579519e+07 -2.07690599e+03  1.16195054e+01 
 4.36515832e+07 -2.07690513e+03  1.19201370e+01 
 4.46683592e+07 -2.07690423e+03  1.22270984e+01 
 4.57088190e+07 -2.07690329e+03  1.25405528e+01 
 4.67735141e+07 -2.07690230e+03  1.28606673e+01 
 4.78630092e+07 -2.07690126e+03  1.31876124e+01 
 4.89778819e+07 -2.07690017e+03  1.35215621e+01 
 5.01187234e+07 -2.07689903e+03  1.38626945e+01 
 5.12861384e+07 -2.07689783e+03  1.42111913e+01 
 5.24807460e+07 -2.07689657e+03  1.45672382e+01 
 5.37031796e+07 -2.07689525e+03  1.49310252e+01 
 5.49540874e+07 -2.07689387e+03  1.53027462e+01 
 5.62341325e+07 -2.07689241e+03  1.56825996e+01 
 5.75439937e+07 -2.07689088e+03  1.60707879e+01 
 5.88843655e+07 -2.07688928e+03  1.64675184e+01 
 6.02559586e+07 -2.07688760e+03  1.68730029e+01 
 6.16595002e+07 -2.07688584e+03  1.72874579e+01 
 6.30957344e+07 -2.07688398e+03  1.77111049e+01 
 6.45654229e+07 -2.07688204e+03  1.81441702e+01 
 6.60693448e+07 -2.07687999e+03  1.85868853e+01 
 6.76082975e+07 -2.07687785e+03  1.90394870e+01 
 6.91830971e+07 -2.07687560e+03  1.95022174e+01 
 7.07945784e+07 -2.07687323e+03  1.99753240e+01 
 7.24435960e+07 -2.07687075e+03  2.04590602e+01 
 7.41310241e+07 -2.07686814e+03  2.09536850e+01 
