 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 2.04173794e+06  1.20588149e+03  2.73255149e+03 -4.37741994e+02 -1.32163280e+02  4.90999655e+02  1.47647846e+02  3.68394434e+02  2.95481038e+02 -1.79564118e+03 -1.43662857e+03 -8.19876440e+02 -1.85824537e+03  1.20620546e+03  2.73341141e+03 
 2.08929613e+06  1.28250271e+03  2.72999221e+03 -4.39378347e+02 -1.29637358e+02  4.92820356e+02  1.44819688e+02  3.74426366e+02  2.91665227e+02 -1.82492676e+03 -1.41800859e+03 -8.71976982e+02 -1.85651061e+03  1.28284919e+03  2.73085315e+03 
 2.13796209e+06  1.35825671e+03  2.72508396e+03 -4.40952623e+02 -1.27140042e+02  4.94571814e+02  1.42023896e+02  3.80284609e+02  2.87783266e+02 -1.85336635e+03 -1.39907050e+03 -9.23487849e+02 -1.85317869e+03  1.35862543e+03  2.72594526e+03 
 2.18776162e+06  1.43304592e+03  2.71791872e+03 -4.42466714e+02 -1.24672277e+02  4.96256149e+02  1.39261507e+02  3.85970272e+02  2.83843127e+02 -1.88096557e+03 -1.37985300e+03 -9.74342707e+02 -1.84831217e+03  1.43343662e+03  2.71877975e+03 
 2.23872114e+06  1.50678101e+03  2.70859155e+03 -4.43922491e+02 -1.22234914e+02  4.97875462e+02  1.36533453e+02  3.91484805e+02  2.79852479e+02 -1.90773165e+03 -1.36039334e+03 -1.02448081e+03 -1.84197566e+03  1.50719338e+03  2.70945169e+03 
 2.29086765e+06  1.57938077e+03  2.69719985e+03 -4.45321804e+02 -1.19828710e+02  4.99431827e+02  1.33840562e+02  3.96829964e+02  2.75818685e+02 -1.93367335e+03 -1.34072727e+03 -1.07384692e+03 -1.83423542e+03  1.57981448e+03  2.69805853e+03 
 2.34422882e+06  1.65077196e+03  2.68384274e+03 -4.46666476e+02 -1.17454334e+02  5.00927288e+02  1.31183563e+02  4.02007787e+02  2.71748792e+02 -1.95880076e+03 -1.32088898e+03 -1.12239126e+03 -1.82515883e+03  1.65122667e+03  2.68469942e+03 
 2.39883292e+06  1.72088917e+03  2.66862046e+03 -4.47958302e+02 -1.15112372e+02  5.02363855e+02  1.28563094e+02  4.07020563e+02  2.67649532e+02 -1.98312518e+03 -1.30091111e+03 -1.17006933e+03 -1.81481408e+03  1.72136450e+03  2.66947461e+03 
 2.45470892e+06  1.78967455e+03  2.65163380e+03 -4.49199047e+02 -1.12803330e+02  5.03743505e+02  1.25979703e+02  4.11870808e+02  2.63527316e+02 -2.00665902e+03 -1.28082475e+03 -1.21684181e+03 -1.80326968e+03  1.79017011e+03  2.65248494e+03 
 2.51188643e+06  1.85707760e+03  2.63298357e+03 -4.50390443e+02 -1.10527640e+02  5.05068176e+02  1.23433857e+02  4.16561239e+02  2.59388240e+02 -2.02941562e+03 -1.26065946e+03 -1.26267434e+03 -1.79059420e+03  1.85759299e+03  2.63383124e+03 
 2.57039578e+06  1.92305484e+03  2.61277012e+03 -4.51534188e+02 -1.08285662e+02  5.06339768e+02  1.20925942e+02  4.21094750e+02  2.55238081e+02 -2.05140921e+03 -1.24044323e+03 -1.30753737e+03 -1.77685587e+03  1.92358966e+03  2.61361390e+03 
 2.63026799e+06  1.98756958e+03  2.59109293e+03 -4.52631942e+02 -1.06077689e+02  5.07560139e+02  1.18456270e+02  4.25474385e+02  2.51082305e+02 -2.07265473e+03 -1.22020253e+03 -1.35140594e+03 -1.76212235e+03  1.98812338e+03  2.59193242e+03 
 2.69153480e+06  2.05059150e+03  2.56805019e+03 -4.53685331e+02 -1.03903953e+02  5.08731106e+02  1.16025084e+02  4.29703323e+02  2.46926069e+02 -2.09316774e+03 -1.19996234e+03 -1.39425944e+03 -1.74646039e+03  2.05116386e+03  2.56888503e+03 
 2.75422870e+06  2.11209641e+03  2.54373845e+03 -4.54695939e+02 -1.01764623e+02  5.09854439e+02  1.13632561e+02  4.33784853e+02  2.42774229e+02 -2.11296435e+03 -1.17974616e+03 -1.43608141e+03 -1.72993566e+03  2.11268688e+03  2.54456830e+03 
 2.81838293e+06  2.17206585e+03  2.51825233e+03 -4.55665313e+02 -9.96598165e+01  5.10931869e+02  1.11278816e+02  4.37722355e+02  2.38631344e+02 -2.13206110e+03 -1.15957604e+03 -1.47685931e+03 -1.71261251e+03  2.17267398e+03  2.51907689e+03 
 2.88403150e+06  2.23048676e+03  2.49168423e+03 -4.56594960e+02 -9.75895963e+01  5.11965077e+02  1.08963908e+02  4.41519284e+02  2.34501685e+02 -2.15047487e+03 -1.13947265e+03 -1.51658424e+03 -1.69455376e+03  2.23111209e+03  2.49250322e+03 
 2.95120923e+06  2.28735110e+03  2.46412411e+03 -4.57486348e+02 -9.55539780e+01  5.12955702e+02  1.06687840e+02  4.45179153e+02  2.30389241e+02 -2.16822282e+03 -1.11945527e+03 -1.55525076e+03 -1.67582058e+03  2.28799319e+03  2.46493728e+03 
 3.01995172e+06  2.34265557e+03  2.43565928e+03 -4.58340901e+02 -9.35529314e+01  5.13905337e+02  1.04450567e+02  4.48705516e+02  2.26297730e+02 -2.18532232e+03 -1.09954188e+03 -1.59285660e+03 -1.65647236e+03  2.34331396e+03  2.43646641e+03 
 3.09029543e+06  2.39640119e+03  2.40637425e+03 -4.59160006e+02 -9.15863845e+01  5.14815527e+02  1.02251996e+02  4.52101955e+02  2.22230607e+02 -2.20179083e+03 -1.07974917e+03 -1.62940246e+03 -1.63656656e+03  2.39707541e+03  2.40717513e+03 
 3.16227766e+06  2.44859299e+03  2.37635057e+03 -4.59945008e+02 -8.96542263e+01  5.15687775e+02  1.00091993e+02  4.55372066e+02  2.18191074e+02 -2.21764592e+03 -1.06009258e+03 -1.66489177e+03 -1.61615863e+03  2.44928259e+03  2.37714504e+03 
