 time            v(vinp)         v(vout)        
 5.90875000e-08  1.25000000e+00  1.23882964e+00 
 5.91125000e-08  1.25000000e+00  1.23883853e+00 
 5.91375000e-08  1.25000000e+00  1.23884735e+00 
 5.91625000e-08  1.25000000e+00  1.23885610e+00 
 5.91875000e-08  1.25000000e+00  1.23886477e+00 
 5.92125000e-08  1.25000000e+00  1.23887338e+00 
 5.92375000e-08  1.25000000e+00  1.23888192e+00 
 5.92625000e-08  1.25000000e+00  1.23889039e+00 
 5.92875000e-08  1.25000000e+00  1.23889880e+00 
 5.93125000e-08  1.25000000e+00  1.23890715e+00 
 5.93375000e-08  1.25000000e+00  1.23891543e+00 
 5.93625000e-08  1.25000000e+00  1.23892365e+00 
 5.93875000e-08  1.25000000e+00  1.23893182e+00 
 5.94125000e-08  1.25000000e+00  1.23893992e+00 
 5.94375000e-08  1.25000000e+00  1.23894797e+00 
 5.94625000e-08  1.25000000e+00  1.23895597e+00 
 5.94875000e-08  1.25000000e+00  1.23896391e+00 
 5.95125000e-08  1.25000000e+00  1.23897179e+00 
 5.95375000e-08  1.25000000e+00  1.23897962e+00 
 5.95625000e-08  1.25000000e+00  1.23898741e+00 
 5.95875000e-08  1.25000000e+00  1.23899514e+00 
 5.96125000e-08  1.25000000e+00  1.23900282e+00 
 5.96375000e-08  1.25000000e+00  1.23901046e+00 
 5.96625000e-08  1.25000000e+00  1.23901804e+00 
 5.96875000e-08  1.25000000e+00  1.23902558e+00 
 5.97125000e-08  1.25000000e+00  1.23903308e+00 
 5.97375000e-08  1.25000000e+00  1.23904052e+00 
 5.97625000e-08  1.25000000e+00  1.23904793e+00 
 5.97875000e-08  1.25000000e+00  1.23905529e+00 
 5.98125000e-08  1.25000000e+00  1.23906261e+00 
 5.98375000e-08  1.25000000e+00  1.23906988e+00 
 5.98625000e-08  1.25000000e+00  1.23907712e+00 
 5.98875000e-08  1.25000000e+00  1.23908431e+00 
 5.99125000e-08  1.25000000e+00  1.23909147e+00 
 5.99375000e-08  1.25000000e+00  1.23909858e+00 
 5.99625000e-08  1.25000000e+00  1.23910566e+00 
 5.99875000e-08  1.25000000e+00  1.23911270e+00 
 6.00125000e-08  1.25000000e+00  1.23911970e+00 
 6.00375000e-08  1.25000000e+00  1.23912666e+00 
 6.00625000e-08  1.25000000e+00  1.23913359e+00 
 6.00875000e-08  1.25000000e+00  1.23914048e+00 
 6.01125000e-08  1.25000000e+00  1.23914734e+00 
 6.01375000e-08  1.25000000e+00  1.23915416e+00 
 6.01625000e-08  1.25000000e+00  1.23916095e+00 
 6.01875000e-08  1.25000000e+00  1.23916770e+00 
 6.02125000e-08  1.25000000e+00  1.23917442e+00 
 6.02375000e-08  1.25000000e+00  1.23918111e+00 
 6.02625000e-08  1.25000000e+00  1.23918777e+00 
 6.02875000e-08  1.25000000e+00  1.23919439e+00 
 6.03125000e-08  1.25000000e+00  1.23920098e+00 
 6.03375000e-08  1.25000000e+00  1.23920754e+00 
 6.03625000e-08  1.25000000e+00  1.23921408e+00 
 6.03875000e-08  1.25000000e+00  1.23922058e+00 
 6.04125000e-08  1.25000000e+00  1.23922705e+00 
 6.04375000e-08  1.25000000e+00  1.23923349e+00 
 6.04625000e-08  1.25000000e+00  1.23923991e+00 
 6.04875000e-08  1.25000000e+00  1.23924629e+00 
 6.05125000e-08  1.25000000e+00  1.23925265e+00 
 6.05375000e-08  1.25000000e+00  1.23925898e+00 
 6.05625000e-08  1.25000000e+00  1.23926529e+00 
 6.05875000e-08  1.25000000e+00  1.23927157e+00 
 6.06125000e-08  1.25000000e+00  1.23927782e+00 
 6.06375000e-08  1.25000000e+00  1.23928404e+00 
 6.06625000e-08  1.25000000e+00  1.23929024e+00 
 6.06875000e-08  1.25000000e+00  1.23929642e+00 
 6.07125000e-08  1.25000000e+00  1.23930256e+00 
 6.07375000e-08  1.25000000e+00  1.23930869e+00 
 6.07625000e-08  1.25000000e+00  1.23931479e+00 
 6.07875000e-08  1.25000000e+00  1.23932087e+00 
 6.08125000e-08  1.25000000e+00  1.23932692e+00 
 6.08375000e-08  1.25000000e+00  1.23933295e+00 
 6.08625000e-08  1.25000000e+00  1.23933896e+00 
 6.08875000e-08  1.25000000e+00  1.23934494e+00 
 6.09125000e-08  1.25000000e+00  1.23935091e+00 
 6.09375000e-08  1.25000000e+00  1.23935685e+00 
 6.09625000e-08  1.25000000e+00  1.23936277e+00 
 6.09875000e-08  1.25000000e+00  1.23936866e+00 
 6.10125000e-08  1.25000000e+00  1.23937454e+00 
 6.10375000e-08  1.25000000e+00  1.23938040e+00 
 6.10625000e-08  1.25000000e+00  1.23938623e+00 
 6.10875000e-08  1.25000000e+00  1.23939205e+00 
 6.11125000e-08  1.25000000e+00  1.23939784e+00 
 6.11375000e-08  1.25000000e+00  1.23940362e+00 
 6.11625000e-08  1.25000000e+00  1.23940938e+00 
 6.11875000e-08  1.25000000e+00  1.23941511e+00 
 6.12125000e-08  1.25000000e+00  1.23942083e+00 
 6.12375000e-08  1.25000000e+00  1.23942653e+00 
 6.12625000e-08  1.25000000e+00  1.23943222e+00 
 6.12875000e-08  1.25000000e+00  1.23943788e+00 
 6.13125000e-08  1.25000000e+00  1.23944352e+00 
 6.13375000e-08  1.25000000e+00  1.23944915e+00 
 6.13625000e-08  1.25000000e+00  1.23945476e+00 
 6.13875000e-08  1.25000000e+00  1.23946036e+00 
 6.14125000e-08  1.25000000e+00  1.23946593e+00 
 6.14375000e-08  1.25000000e+00  1.23947149e+00 
 6.14625000e-08  1.25000000e+00  1.23947704e+00 
 6.14875000e-08  1.25000000e+00  1.23948256e+00 
 6.15125000e-08  1.25000000e+00  1.23948808e+00 
 6.15375000e-08  1.25000000e+00  1.23949357e+00 
 6.15625000e-08  1.25000000e+00  1.23949905e+00 
 6.15875000e-08  1.25000000e+00  1.23950451e+00 
 6.16125000e-08  1.25000000e+00  1.23950996e+00 
 6.16375000e-08  1.25000000e+00  1.23951540e+00 
 6.16625000e-08  1.25000000e+00  1.23952081e+00 
 6.16875000e-08  1.25000000e+00  1.23952622e+00 
 6.17125000e-08  1.25000000e+00  1.23953161e+00 
 6.17375000e-08  1.25000000e+00  1.23953698e+00 
 6.17625000e-08  1.25000000e+00  1.23954234e+00 
 6.17875000e-08  1.25000000e+00  1.23954769e+00 
 6.18125000e-08  1.25000000e+00  1.23955302e+00 
 6.18375000e-08  1.25000000e+00  1.23955834e+00 
 6.18625000e-08  1.25000000e+00  1.23956364e+00 
 6.18875000e-08  1.25000000e+00  1.23956893e+00 
 6.19125000e-08  1.25000000e+00  1.23957421e+00 
 6.19375000e-08  1.25000000e+00  1.23957947e+00 
 6.19625000e-08  1.25000000e+00  1.23958472e+00 
 6.19875000e-08  1.25000000e+00  1.23958996e+00 
 6.20125000e-08  1.25000000e+00  1.23959519e+00 
 6.20375000e-08  1.25000000e+00  1.23960040e+00 
 6.20625000e-08  1.25000000e+00  1.23960560e+00 
 6.20875000e-08  1.25000000e+00  1.23961079e+00 
 6.21125000e-08  1.25000000e+00  1.23961596e+00 
 6.21375000e-08  1.25000000e+00  1.23962112e+00 
 6.21625000e-08  1.25000000e+00  1.23962627e+00 
 6.21875000e-08  1.25000000e+00  1.23963141e+00 
 6.22125000e-08  1.25000000e+00  1.23963654e+00 
 6.22375000e-08  1.25000000e+00  1.23964165e+00 
 6.22625000e-08  1.25000000e+00  1.23964676e+00 
 6.22875000e-08  1.25000000e+00  1.23965185e+00 
 6.23125000e-08  1.25000000e+00  1.23965693e+00 
 6.23375000e-08  1.25000000e+00  1.23966200e+00 
 6.23625000e-08  1.25000000e+00  1.23966705e+00 
