 frequency       v(finalp,finaln) v(finalp,finaln)
 8.31763771e+08 -2.45562475e+03  2.79076365e+02 
 8.51138038e+08 -2.45483494e+03  2.85541654e+02 
 8.70963590e+08 -2.45400806e+03  2.92154959e+02 
 8.91250938e+08 -2.45314238e+03  2.98919545e+02 
 9.12010839e+08 -2.45223608e+03  3.05838743e+02 
 9.33254301e+08 -2.45128728e+03  3.12915944e+02 
 9.54992586e+08 -2.45029397e+03  3.20154605e+02 
 9.77237221e+08 -2.44925409e+03  3.27558247e+02 
 1.00000000e+09 -2.44816547e+03  3.35130459e+02 
 1.02329299e+09 -2.44702583e+03  3.42874890e+02 
 1.04712855e+09 -2.44583279e+03  3.50795260e+02 
 1.07151931e+09 -2.44458387e+03  3.58895351e+02 
 1.09647820e+09 -2.44327648e+03  3.67179013e+02 
 1.12201845e+09 -2.44190788e+03  3.75650161e+02 
 1.14815362e+09 -2.44047523e+03  3.84312776e+02 
 1.17489755e+09 -2.43897557e+03  3.93170904e+02 
 1.20226443e+09 -2.43740577e+03  4.02228658e+02 
 1.23026877e+09 -2.43576258e+03  4.11490213e+02 
 1.25892541e+09 -2.43404261e+03  4.20959810e+02 
 1.28824955e+09 -2.43224229e+03  4.30641752e+02 
 1.31825674e+09 -2.43035791e+03  4.40540404e+02 
 1.34896288e+09 -2.42838558e+03  4.50660194e+02 
 1.38038426e+09 -2.42632124e+03  4.61005607e+02 
 1.41253754e+09 -2.42416063e+03  4.71581186e+02 
 1.44543977e+09 -2.42189933e+03  4.82391534e+02 
 1.47910839e+09 -2.41953268e+03  4.93441302e+02 
 1.51356125e+09 -2.41705586e+03  5.04735198e+02 
 1.54881662e+09 -2.41446378e+03  5.16277976e+02 
 1.58489319e+09 -2.41175116e+03  5.28074437e+02 
 1.62181010e+09 -2.40891247e+03  5.40129423e+02 
 1.65958691e+09 -2.40594194e+03  5.52447816e+02 
 1.69824365e+09 -2.40283353e+03  5.65034534e+02 
 1.73780083e+09 -2.39958095e+03  5.77894522e+02 
 1.77827941e+09 -2.39617763e+03  5.91032754e+02 
 1.81970086e+09 -2.39261669e+03  6.04454219e+02 
 1.86208714e+09 -2.38889098e+03  6.18163925e+02 
 1.90546072e+09 -2.38499301e+03  6.32166883e+02 
 1.94984460e+09 -2.38091497e+03  6.46468104e+02 
 1.99526231e+09 -2.37664873e+03  6.61072595e+02 
 2.04173794e+09 -2.37218579e+03  6.75985342e+02 
 2.08929613e+09 -2.36751729e+03  6.91211309e+02 
 2.13796209e+09 -2.36263397e+03  7.06755421e+02 
 2.18776162e+09 -2.35752621e+03  7.22622561e+02 
 2.23872114e+09 -2.35218396e+03  7.38817550e+02 
 2.29086765e+09 -2.34659675e+03  7.55345141e+02 
 2.34422882e+09 -2.34075366e+03  7.72210003e+02 
 2.39883292e+09 -2.33464333e+03  7.89416704e+02 
 2.45470892e+09 -2.32825391e+03  8.06969701e+02 
 2.51188643e+09 -2.32157308e+03  8.24873317e+02 
 2.57039578e+09 -2.31458799e+03  8.43131728e+02 
 2.63026799e+09 -2.30728529e+03  8.61748940e+02 
 2.69153480e+09 -2.29965106e+03  8.80728770e+02 
 2.75422870e+09 -2.29167085e+03  9.00074822e+02 
 2.81838293e+09 -2.28332960e+03  9.19790466e+02 
 2.88403150e+09 -2.27461169e+03  9.39878812e+02 
 2.95120923e+09 -2.26550085e+03  9.60342679e+02 
 3.01995172e+09 -2.25598021e+03  9.81184571e+02 
 3.09029543e+09 -2.24603222e+03  1.00240664e+03 
 3.16227766e+09 -2.23563867e+03  1.02401067e+03 
 3.23593657e+09 -2.22478066e+03  1.04599801e+03 
 3.31131121e+09 -2.21343858e+03  1.06836957e+03 
