 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 2.04173794e+06  4.14737124e+03  7.21224488e+03 -5.47133623e+02 -9.72035954e+01  1.48358063e+03  2.62347241e+02  1.38676069e+03  5.08200278e+02 -6.24873195e+03 -2.28133606e+03 -2.86055695e+03 -4.97535522e+03  4.14737104e+03  7.21224499e+03 
 2.08929613e+06  4.33687549e+03  7.16823811e+03 -5.47888705e+02 -9.51203316e+01  1.48561080e+03  2.56718106e+02  1.39261902e+03  4.97992616e+02 -6.27492140e+03 -2.23544708e+03 -2.99127405e+03 -4.94501369e+03  4.33687528e+03  7.16823824e+03 
 2.13796209e+06  4.52252500e+03  7.11957644e+03 -5.48611751e+02 -9.30760244e+01  1.48755479e+03  2.51194355e+02  1.39823895e+03  4.87930887e+02 -6.30004334e+03 -2.19021837e+03 -3.11933225e+03 -4.91146149e+03  4.52252479e+03  7.11957657e+03 
 2.18776162e+06  4.70420446e+03  7.06654208e+03 -5.49304039e+02 -9.10703132e+01  1.48941605e+03  2.45774997e+02  1.40362909e+03  4.78016981e+02 -6.32413659e+03 -2.14565811e+03 -3.24465199e+03 -4.87489332e+03  4.70420425e+03  7.06654222e+03 
 2.23872114e+06  4.88181701e+03  7.00941409e+03 -5.49966801e+02 -8.91028144e+01  1.49119788e+03  2.40458979e+02  1.40879788e+03  4.68252453e+02 -6.34723895e+03 -2.10177302e+03 -3.36716646e+03 -4.83550165e+03  4.88181679e+03  7.00941424e+03 
 2.29086765e+06  5.05528332e+03  6.94846735e+03 -5.50601229e+02 -8.71731232e+01  1.49290351e+03  2.35245192e+02  1.41375351e+03  4.58638541e+02 -6.36938720e+03 -2.05856838e+03 -3.48682095e+03 -4.79347612e+03  5.05528310e+03  6.94846751e+03 
 2.34422882e+06  5.22454065e+03  6.88397165e+03 -5.51208470e+02 -8.52808156e+01  1.49453601e+03  2.30132477e+02  1.41850393e+03  4.49176192e+02 -6.39061712e+03 -2.01604819e+03 -3.60357216e+03 -4.74900281e+03  5.22454043e+03  6.88397181e+03 
 2.39883292e+06  5.38954188e+03  6.81619091e+03 -5.51789633e+02 -8.34254508e+01  1.49609838e+03  2.25119630e+02  1.42305690e+03  4.39866075e+02 -6.41096344e+03 -1.97421523e+03 -3.71738759e+03 -4.70226380e+03  5.38954165e+03  6.81619108e+03 
 2.45470892e+06  5.55025452e+03  6.74538250e+03 -5.52345785e+02 -8.16065728e+01  1.49759348e+03  2.20205407e+02  1.42741993e+03  4.30708609e+02 -6.43045989e+03 -1.93307112e+03 -3.82824483e+03 -4.65343662e+03  5.55025428e+03  6.74538269e+03 
 2.51188643e+06  5.70665976e+03  6.67179665e+03 -5.52877953e+02 -7.98237125e+01  1.49902408e+03  2.15388527e+02  1.43160030e+03  4.21703974e+02 -6.44913916e+03 -1.89261647e+03 -3.93613092e+03 -4.60269388e+03  5.70665953e+03  6.67179685e+03 
