 frequency       v(finalp,finaln) v(finalp,finaln)
 6.02559586e+07  4.78488130e-03 -7.45051260e-02 
 6.16595002e+07  4.67794533e-03 -7.64255083e-02 
 6.30957344e+07  4.55773168e-03 -7.83897727e-02 
 6.45654229e+07  4.42370438e-03 -8.03986884e-02 
 6.60693448e+07  4.27531271e-03 -8.24530394e-02 
 6.76082975e+07  4.11199010e-03 -8.45536253e-02 
 6.91830971e+07  3.93315295e-03 -8.67012612e-02 
 7.07945784e+07  3.73819938e-03 -8.88967785e-02 
 7.24435960e+07  3.52650796e-03 -9.11410246e-02 
 7.41310241e+07  3.29743632e-03 -9.34348633e-02 
 7.58577575e+07  3.05031979e-03 -9.57791751e-02 
 7.76247117e+07  2.78446989e-03 -9.81748565e-02 
 7.94328235e+07  2.49917289e-03 -1.00622821e-01 
 8.12830516e+07  2.19368821e-03 -1.03123997e-01 
 8.31763771e+07  1.86724689e-03 -1.05679331e-01 
 8.51138038e+07  1.51904993e-03 -1.08289783e-01 
 8.70963590e+07  1.14826665e-03 -1.10956330e-01 
 8.91250938e+07  7.54032993e-04 -1.13679962e-01 
 9.12010839e+07  3.35449825e-04 -1.16461685e-01 
 9.33254301e+07 -1.08418830e-04 -1.19302516e-01 
 9.54992586e+07 -5.78547553e-04 -1.22203487e-01 
 9.77237221e+07 -1.07595133e-03 -1.25165640e-01 
 1.00000000e+08 -1.60168734e-03 -1.28190029e-01 
 1.02329299e+08 -2.15685683e-03 -1.31277716e-01 
 1.04712855e+08 -2.74260690e-03 -1.34429773e-01 
 1.07151931e+08 -3.36013243e-03 -1.37647277e-01 
 1.09647820e+08 -4.01067785e-03 -1.40931313e-01 
 1.12201845e+08 -4.69553909e-03 -1.44282967e-01 
 1.14815362e+08 -5.41606540e-03 -1.47703330e-01 
 1.17489755e+08 -6.17366121e-03 -1.51193490e-01 
 1.20226443e+08 -6.96978797e-03 -1.54754536e-01 
 1.23026877e+08 -7.80596604e-03 -1.58387552e-01 
 1.25892541e+08 -8.68377641e-03 -1.62093614e-01 
 1.28824955e+08 -9.60486256e-03 -1.65873792e-01 
 1.31825674e+08 -1.05709322e-02 -1.69729142e-01 
 1.34896288e+08 -1.15837588e-02 -1.73660707e-01 
 1.38038426e+08 -1.26451835e-02 -1.77669513e-01 
 1.41253754e+08 -1.37571167e-02 -1.81756564e-01 
 1.44543977e+08 -1.49215390e-02 -1.85922841e-01 
 1.47910839e+08 -1.61405036e-02 -1.90169296e-01 
 1.51356125e+08 -1.74161366e-02 -1.94496850e-01 
 1.54881662e+08 -1.87506389e-02 -1.98906390e-01 
 1.58489319e+08 -2.01462869e-02 -2.03398761e-01 
 1.62181010e+08 -2.16054337e-02 -2.07974766e-01 
 1.65958691e+08 -2.31305094e-02 -2.12635157e-01 
 1.69824365e+08 -2.47240221e-02 -2.17380633e-01 
 1.73780083e+08 -2.63885582e-02 -2.22211834e-01 
 1.77827941e+08 -2.81267823e-02 -2.27129336e-01 
 1.81970086e+08 -2.99414370e-02 -2.32133643e-01 
 1.86208714e+08 -3.18353429e-02 -2.37225187e-01 
