 time            v(pkd)          v(agc)         
 1.56280000e-07  8.02074668e-01  1.49647457e+00 
 1.57280000e-07  8.02074668e-01  1.49647457e+00 
 1.58280000e-07  8.02074667e-01  1.49647457e+00 
 1.59280000e-07  8.02074667e-01  1.49647457e+00 
 1.60280000e-07  8.02074666e-01  1.49647457e+00 
 1.61280000e-07  8.02074666e-01  1.49647457e+00 
 1.62280000e-07  8.02074666e-01  1.49647457e+00 
 1.63280000e-07  8.02074665e-01  1.49647457e+00 
 1.64280000e-07  8.02074665e-01  1.49647457e+00 
 1.65280000e-07  8.02074665e-01  1.49647457e+00 
 1.66280000e-07  8.02074664e-01  1.49647457e+00 
 1.67280000e-07  8.02074664e-01  1.49647457e+00 
 1.68280000e-07  8.02074664e-01  1.49647457e+00 
 1.69280000e-07  8.02074663e-01  1.49647457e+00 
 1.70280000e-07  8.02074663e-01  1.49647457e+00 
 1.71280000e-07  8.02074663e-01  1.49647457e+00 
 1.72280000e-07  8.02074662e-01  1.49647457e+00 
 1.73280000e-07  8.02074662e-01  1.49647457e+00 
 1.74280000e-07  8.02074662e-01  1.49647457e+00 
 1.75280000e-07  8.02074662e-01  1.49647457e+00 
 1.76280000e-07  8.02074661e-01  1.49647457e+00 
 1.77280000e-07  8.02074661e-01  1.49647457e+00 
 1.78280000e-07  8.02074661e-01  1.49647457e+00 
 1.79280000e-07  8.02074661e-01  1.49647457e+00 
 1.80280000e-07  8.02074660e-01  1.49647457e+00 
 1.81280000e-07  8.02074660e-01  1.49647457e+00 
 1.82280000e-07  8.02074660e-01  1.49647457e+00 
 1.83280000e-07  8.02074660e-01  1.49647457e+00 
 1.84280000e-07  8.02074659e-01  1.49647457e+00 
 1.85280000e-07  8.02074659e-01  1.49647457e+00 
 1.86280000e-07  8.02074659e-01  1.49647457e+00 
 1.87280000e-07  8.02074659e-01  1.49647457e+00 
 1.88280000e-07  8.02074659e-01  1.49647457e+00 
 1.89280000e-07  8.02074658e-01  1.49647457e+00 
 1.90280000e-07  8.02074658e-01  1.49647457e+00 
 1.91280000e-07  8.02074658e-01  1.49647457e+00 
 1.92280000e-07  8.02074658e-01  1.49647457e+00 
 1.93280000e-07  8.02074658e-01  1.49647457e+00 
 1.94280000e-07  8.02074658e-01  1.49647457e+00 
 1.95280000e-07  8.02074657e-01  1.49647457e+00 
 1.96280000e-07  8.02074657e-01  1.49647457e+00 
 1.97280000e-07  8.02074657e-01  1.49647457e+00 
 1.98280000e-07  8.02074657e-01  1.49647457e+00 
 1.99280000e-07  8.02074657e-01  1.49647457e+00 
 2.00280000e-07  8.02074657e-01  1.49647457e+00 
