 time            v(vinp)         v(vout)        
 4.48200000e-09  7.50000000e-01  7.55614789e-01 
 4.50700000e-09  7.50000000e-01  7.55614789e-01 
 4.53200000e-09  7.50000000e-01  7.55614789e-01 
 4.55700000e-09  7.50000000e-01  7.55614789e-01 
 4.58200000e-09  7.50000000e-01  7.55614789e-01 
 4.60700000e-09  7.50000000e-01  7.55614789e-01 
 4.63200000e-09  7.50000000e-01  7.55614789e-01 
 4.65700000e-09  7.50000000e-01  7.55614789e-01 
 4.68200000e-09  7.50000000e-01  7.55614789e-01 
 4.70700000e-09  7.50000000e-01  7.55614789e-01 
 4.73200000e-09  7.50000000e-01  7.55614789e-01 
 4.75700000e-09  7.50000000e-01  7.55614789e-01 
 4.78200000e-09  7.50000000e-01  7.55614789e-01 
 4.80700000e-09  7.50000000e-01  7.55614789e-01 
 4.83200000e-09  7.50000000e-01  7.55614789e-01 
 4.85700000e-09  7.50000000e-01  7.55614789e-01 
 4.88200000e-09  7.50000000e-01  7.55614789e-01 
 4.90700000e-09  7.50000000e-01  7.55614789e-01 
 4.93200000e-09  7.50000000e-01  7.55614789e-01 
 4.95700000e-09  7.50000000e-01  7.55614789e-01 
 4.98200000e-09  7.50000000e-01  7.55614789e-01 
 5.00700000e-09  7.50000000e-01  7.55614789e-01 
 5.03200000e-09  7.50000000e-01  7.55614789e-01 
 5.05700000e-09  7.50000000e-01  7.55614789e-01 
 5.08200000e-09  7.50000000e-01  7.55614789e-01 
 5.10700000e-09  7.50000000e-01  7.55614789e-01 
 5.13200000e-09  7.50000000e-01  7.55614789e-01 
 5.15700000e-09  7.50000000e-01  7.55614789e-01 
 5.18200000e-09  7.50000000e-01  7.55614789e-01 
 5.20700000e-09  7.50000000e-01  7.55614789e-01 
 5.23200000e-09  7.50000000e-01  7.55614789e-01 
 5.25700000e-09  7.50000000e-01  7.55614789e-01 
 5.28200000e-09  7.50000000e-01  7.55614789e-01 
 5.30700000e-09  7.50000000e-01  7.55614789e-01 
 5.33200000e-09  7.50000000e-01  7.55614789e-01 
 5.35700000e-09  7.50000000e-01  7.55614789e-01 
 5.38200000e-09  7.50000000e-01  7.55614789e-01 
 5.40700000e-09  7.50000000e-01  7.55614789e-01 
 5.43200000e-09  7.50000000e-01  7.55614789e-01 
 5.45700000e-09  7.50000000e-01  7.55614789e-01 
 5.48200000e-09  7.50000000e-01  7.55614789e-01 
 5.50700000e-09  7.50000000e-01  7.55614789e-01 
 5.53200000e-09  7.50000000e-01  7.55614789e-01 
 5.55700000e-09  7.50000000e-01  7.55614789e-01 
 5.58200000e-09  7.50000000e-01  7.55614789e-01 
 5.60700000e-09  7.50000000e-01  7.55614789e-01 
 5.63200000e-09  7.50000000e-01  7.55614789e-01 
 5.65700000e-09  7.50000000e-01  7.55614789e-01 
 5.68200000e-09  7.50000000e-01  7.55614789e-01 
 5.70700000e-09  7.50000000e-01  7.55614789e-01 
 5.73200000e-09  7.50000000e-01  7.55614789e-01 
 5.75700000e-09  7.50000000e-01  7.55614789e-01 
 5.78200000e-09  7.50000000e-01  7.55614789e-01 
 5.80700000e-09  7.50000000e-01  7.55614789e-01 
 5.83200000e-09  7.50000000e-01  7.55614789e-01 
 5.85700000e-09  7.50000000e-01  7.55614789e-01 
 5.88200000e-09  7.50000000e-01  7.55614789e-01 
 5.90700000e-09  7.50000000e-01  7.55614789e-01 
 5.93200000e-09  7.50000000e-01  7.55614789e-01 
 5.95700000e-09  7.50000000e-01  7.55614789e-01 
 5.98200000e-09  7.50000000e-01  7.55614789e-01 
 6.00700000e-09  7.50000000e-01  7.55614789e-01 
 6.03200000e-09  7.50000000e-01  7.55614789e-01 
 6.05700000e-09  7.50000000e-01  7.55614789e-01 
 6.08200000e-09  7.50000000e-01  7.55614789e-01 
 6.10700000e-09  7.50000000e-01  7.55614789e-01 
 6.13200000e-09  7.50000000e-01  7.55614789e-01 
 6.15700000e-09  7.50000000e-01  7.55614789e-01 
 6.18200000e-09  7.50000000e-01  7.55614789e-01 
 6.20700000e-09  7.50000000e-01  7.55614789e-01 
 6.23200000e-09  7.50000000e-01  7.55614789e-01 
 6.25700000e-09  7.50000000e-01  7.55614789e-01 
 6.28200000e-09  7.50000000e-01  7.55614789e-01 
 6.30700000e-09  7.50000000e-01  7.55614789e-01 
 6.33200000e-09  7.50000000e-01  7.55614789e-01 
 6.35700000e-09  7.50000000e-01  7.55614789e-01 
 6.38200000e-09  7.50000000e-01  7.55614789e-01 
 6.40700000e-09  7.50000000e-01  7.55614789e-01 
 6.43200000e-09  7.50000000e-01  7.55614789e-01 
 6.45700000e-09  7.50000000e-01  7.55614789e-01 
 6.48200000e-09  7.50000000e-01  7.55614789e-01 
 6.50700000e-09  7.50000000e-01  7.55614789e-01 
 6.53200000e-09  7.50000000e-01  7.55614789e-01 
 6.55700000e-09  7.50000000e-01  7.55614789e-01 
 6.58200000e-09  7.50000000e-01  7.55614789e-01 
 6.60700000e-09  7.50000000e-01  7.55614789e-01 
