 time            v(finalp)       v(finaln)      
 4.07866500e-11  2.69258923e+00  2.69203454e+00 
 4.10366500e-11  2.69258462e+00  2.69203916e+00 
 4.12866500e-11  2.69256963e+00  2.69205416e+00 
 4.15366500e-11  2.69254483e+00  2.69207896e+00 
 4.17866500e-11  2.69251151e+00  2.69211227e+00 
 4.20366500e-11  2.69247161e+00  2.69215216e+00 
 4.22866500e-11  2.69242760e+00  2.69219617e+00 
 4.25366500e-11  2.69238232e+00  2.69224144e+00 
 4.27866500e-11  2.69233884e+00  2.69228490e+00 
 4.30366500e-11  2.69230024e+00  2.69232350e+00 
 4.32866500e-11  2.69226939e+00  2.69235436e+00 
 4.35366500e-11  2.69224873e+00  2.69237502e+00 
 4.37866500e-11  2.69224013e+00  2.69238364e+00 
 4.40366500e-11  2.69224469e+00  2.69237909e+00 
 4.42866500e-11  2.69226265e+00  2.69236112e+00 
 4.45366500e-11  2.69229336e+00  2.69233041e+00 
 4.47866500e-11  2.69233524e+00  2.69228852e+00 
 4.50366500e-11  2.69238588e+00  2.69223787e+00 
 4.52866500e-11  2.69244217e+00  2.69218156e+00 
 4.55366500e-11  2.69250047e+00  2.69212324e+00 
 4.57866500e-11  2.69255686e+00  2.69206684e+00 
 4.60366500e-11  2.69260736e+00  2.69201633e+00 
 4.62866500e-11  2.69264825e+00  2.69197545e+00 
 4.65366500e-11  2.69267630e+00  2.69194741e+00 
 4.67866500e-11  2.69268902e+00  2.69193471e+00 
 4.70366500e-11  2.69268489e+00  2.69193887e+00 
 4.72866500e-11  2.69266345e+00  2.69196031e+00 
 4.75366500e-11  2.69262547e+00  2.69199830e+00 
 4.77866500e-11  2.69257283e+00  2.69205093e+00 
 4.80366500e-11  2.69250855e+00  2.69211519e+00 
 4.82866500e-11  2.69243655e+00  2.69218715e+00 
 4.85366500e-11  2.69236149e+00  2.69226219e+00 
 4.87866500e-11  2.69228839e+00  2.69233527e+00 
 4.90366500e-11  2.69222240e+00  2.69240126e+00 
 4.92866500e-11  2.69216835e+00  2.69245531e+00 
 4.95366500e-11  2.69213048e+00  2.69249319e+00 
 4.97866500e-11  2.69211211e+00  2.69251160e+00 
 5.00366500e-11  2.69211531e+00  2.69250842e+00 
 5.02866500e-11  2.69214080e+00  2.69248294e+00 
 5.05366500e-11  2.69218776e+00  2.69243598e+00 
 5.07866500e-11  2.69225388e+00  2.69236984e+00 
 5.10366500e-11  2.69233542e+00  2.69228827e+00 
 5.12866500e-11  2.69242741e+00  2.69219622e+00 
 5.15366500e-11  2.69252398e+00  2.69209961e+00 
 5.17866500e-11  2.69261865e+00  2.69200490e+00 
 5.20366500e-11  2.69270484e+00  2.69191870e+00 
 5.22866500e-11  2.69277622e+00  2.69184732e+00 
 5.25366500e-11  2.69282726e+00  2.69179632e+00 
 5.27866500e-11  2.69285355e+00  2.69177008e+00 
 5.30366500e-11  2.69285221e+00  2.69177147e+00 
 5.32866500e-11  2.69282216e+00  2.69180156e+00 
 5.35366500e-11  2.69276422e+00  2.69185950e+00 
 5.37866500e-11  2.69268120e+00  2.69194250e+00 
 5.40366500e-11  2.69257774e+00  2.69204590e+00 
 5.42866500e-11  2.69246012e+00  2.69216345e+00 
 5.45366500e-11  2.69233582e+00  2.69228767e+00 
 5.47866500e-11  2.69221315e+00  2.69241028e+00 
 5.50366500e-11  2.69210064e+00  2.69252276e+00 
 5.52866500e-11  2.69200648e+00  2.69261693e+00 
 5.55366500e-11  2.69193795e+00  2.69268552e+00 
 5.57866500e-11  2.69190085e+00  2.69272268e+00 
 5.60366500e-11  2.69189910e+00  2.69272451e+00 
 5.62866500e-11  2.69193430e+00  2.69268936e+00 
 5.65366500e-11  2.69200562e+00  2.69261805e+00 
 5.67866500e-11  2.69210968e+00  2.69251395e+00 
 5.70366500e-11  2.69224071e+00  2.69238283e+00 
 5.72866500e-11  2.69239083e+00  2.69223258e+00 
 5.75366500e-11  2.69255053e+00  2.69207275e+00 
 5.77866500e-11  2.69270922e+00  2.69191395e+00 
 5.80366500e-11  2.69285593e+00  2.69176719e+00 
 5.82866500e-11  2.69298003e+00  2.69164309e+00 
 5.85366500e-11  2.69307200e+00  2.69155120e+00 
 5.87866500e-11  2.69312412e+00  2.69149920e+00 
 5.90366500e-11  2.69313107e+00  2.69149239e+00 
 5.92866500e-11  2.69309042e+00  2.69153314e+00 
 5.95366500e-11  2.69300292e+00  2.69162068e+00 
 5.97866500e-11  2.69287259e+00  2.69175096e+00 
 6.00366500e-11  2.69270658e+00  2.69191684e+00 
 6.02866500e-11  2.69251480e+00  2.69210842e+00 
 6.05366500e-11  2.69230940e+00  2.69231360e+00 
 6.07866500e-11  2.69210397e+00  2.69251886e+00 
 6.10366500e-11  2.69191267e+00  2.69271005e+00 
 6.12866500e-11  2.69174933e+00  2.69287340e+00 
 6.15366500e-11  2.69162638e+00  2.69299647e+00 
 6.17866500e-11  2.69155402e+00  2.69306902e+00 
 6.20366500e-11  2.69153938e+00  2.69308387e+00 
 6.22866500e-11  2.69158591e+00  2.69303750e+00 
 6.25366500e-11  2.69169301e+00  2.69293046e+00 
 6.27866500e-11  2.69185588e+00  2.69276752e+00 
 6.30366500e-11  2.69206566e+00  2.69255750e+00 
 6.32866500e-11  2.69230993e+00  2.69231290e+00 
 6.35366500e-11  2.69257336e+00  2.69204910e+00 
 6.37866500e-11  2.69283863e+00  2.69178351e+00 
 6.40366500e-11  2.69308758e+00  2.69153438e+00 
 6.42866500e-11  2.69330235e+00  2.69131961e+00 
 6.45366500e-11  2.69346667e+00  2.69115547e+00 
 6.47866500e-11  2.69356704e+00  2.69105542e+00 
 6.50366500e-11  2.69359377e+00  2.69102906e+00 
 6.52866500e-11  2.69354181e+00  2.69108133e+00 
 6.55366500e-11  2.69341134e+00  2.69121194e+00 
 6.57866500e-11  2.69320796e+00  2.69141522e+00 
 6.60366500e-11  2.69294257e+00  2.69168028e+00 
 6.62866500e-11  2.69263083e+00  2.69199149e+00 
 6.65366500e-11  2.69229227e+00  2.69232944e+00 
 6.67866500e-11  2.69194915e+00  2.69267203e+00 
 6.70366500e-11  2.69162496e+00  2.69299589e+00 
 6.72866500e-11  2.69134289e+00  2.69327792e+00 
 6.75366500e-11  2.69112419e+00  2.69349688e+00 
 6.77866500e-11  2.69098662e+00  2.69363496e+00 
 6.80366500e-11  2.69094306e+00  2.69367911e+00 
 6.82866500e-11  2.69100048e+00  2.69362221e+00 
 6.85366500e-11  2.69115916e+00  2.69346377e+00 
 6.87866500e-11  2.69141246e+00  2.69321032e+00 
 6.90366500e-11  2.69174696e+00  2.69287528e+00 
 6.92866500e-11  2.69214312e+00  2.69247825e+00 
 6.95366500e-11  2.69257632e+00  2.69204403e+00 
 6.97866500e-11  2.69301840e+00  2.69160104e+00 
 7.00366500e-11  2.69343933e+00  2.69117951e+00 
 7.02866500e-11  2.69380924e+00  2.69080948e+00 
 7.05366500e-11  2.69410047e+00  2.69051866e+00 
 7.07866500e-11  2.69428951e+00  2.69033044e+00 
 7.10366500e-11  2.69435887e+00  2.69026210e+00 
 7.12866500e-11  2.69429853e+00  2.69032334e+00 
 7.15366500e-11  2.69410699e+00  2.69051537e+00 
 7.17866500e-11  2.69379176e+00  2.69083047e+00 
 7.20366500e-11  2.69336925e+00  2.69125216e+00 
 7.22866500e-11  2.69286403e+00  2.69175599e+00 
 7.25366500e-11  2.69230751e+00  2.69231086e+00 
 7.27866500e-11  2.69173598e+00  2.69288084e+00 
 7.30366500e-11  2.69118833e+00  2.69342744e+00 
 7.32866500e-11  2.69070343e+00  2.69391206e+00 
 7.35366500e-11  2.69031740e+00  2.69429867e+00 
 7.37866500e-11  2.69006102e+00  2.69455635e+00 
 7.40366500e-11  2.68995735e+00  2.69466166e+00 
 7.42866500e-11  2.69001986e+00  2.69460065e+00 
 7.45366500e-11  2.69025115e+00  2.69437023e+00 
 7.47866500e-11  2.69064234e+00  2.69397888e+00 
 7.50366500e-11  2.69117326e+00  2.69344667e+00 
 7.52866500e-11  2.69181335e+00  2.69280432e+00 
 7.55366500e-11  2.69252335e+00  2.69209156e+00 
 7.57866500e-11  2.69325755e+00  2.69135472e+00 
 7.60366500e-11  2.69396662e+00  2.69064380e+00 
 7.62866500e-11  2.69460075e+00  2.69000907e+00 
 7.65366500e-11  2.69511306e+00  2.68949760e+00 
 7.67866500e-11  2.69546293e+00  2.68914982e+00 
 7.70366500e-11  2.69561906e+00  2.68899644e+00 
 7.72866500e-11  2.69556210e+00  2.68905601e+00 
 7.75366500e-11  2.69528656e+00  2.68933317e+00 
 7.77866500e-11  2.69480187e+00  2.68981785e+00 
 7.80366500e-11  2.69413240e+00  2.69048539e+00 
 7.82866500e-11  2.69331651e+00  2.69129771e+00 
 7.85366500e-11  2.69240440e+00  2.69220528e+00 
 7.87866500e-11  2.69145522e+00  2.69315004e+00 
 7.90366500e-11  2.69053319e+00  2.69406883e+00 
 7.92866500e-11  2.68970330e+00  2.69489749e+00 
 7.95366500e-11  2.68902682e+00  2.69557514e+00 
 7.97678250e-11  2.68858359e+00  2.69602132e+00 
 7.99990000e-11  2.68835012e+00  2.69625891e+00 
 7.99991000e-11  2.68835007e+00  2.69625896e+00 
 7.99993000e-11  2.68834996e+00  2.69625907e+00 
 7.99996500e-11  2.68834978e+00  2.69625926e+00 
 8.00000000e-11  2.68834959e+00  2.69625945e+00 
 8.00000700e-11  2.68834956e+00  2.69625949e+00 
 8.00002100e-11  2.68834949e+00  2.69625956e+00 
 8.00004900e-11  2.68834934e+00  2.69625971e+00 
 8.00010500e-11  2.68834905e+00  2.69626002e+00 
 8.00021700e-11  2.68834847e+00  2.69626061e+00 
 8.00044100e-11  2.68834734e+00  2.69626179e+00 
 8.00088900e-11  2.68834513e+00  2.69626409e+00 
 8.00178500e-11  2.68834098e+00  2.69626841e+00 
 8.00357700e-11  2.68833374e+00  2.69627599e+00 
 8.00716100e-11  2.68832356e+00  2.69628687e+00 
