 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.99526231e+06  2.87228939e+03  2.68353466e+03 -3.67355440e+02 -5.51883061e+01  8.40176317e+02  1.24875737e+02  7.45694159e+02  3.33231061e+02 -2.56543438e+03 -1.13980656e+03 -1.93411897e+03 -1.80739864e+03  2.87470092e+03  2.68593931e+03 
 2.04173794e+06  2.93037602e+03  2.65108200e+03 -3.67994917e+02 -5.41060687e+01  8.41616003e+02  1.22421239e+02  7.50836126e+02  3.27438498e+02 -2.58294077e+03 -1.11992916e+03 -1.97323464e+03 -1.78555275e+03  2.93283703e+03  2.65346211e+03 
 2.08929613e+06  2.98681046e+03  2.61784717e+03 -3.68609529e+02 -5.30378434e+01  8.42999612e+02  1.19998781e+02  7.55794520e+02  3.21672976e+02 -2.59982014e+03 -1.10014910e+03 -2.01123774e+03 -1.76318030e+03  2.98931953e+03  2.62020214e+03 
 2.13796209e+06  3.04159981e+03  2.58391314e+03 -3.69200084e+02 -5.19839141e+01  8.44328975e+02  1.17608986e+02  7.60573944e+02  3.15939392e+02 -2.61608838e+03 -1.08048291e+03 -2.04813302e+03 -1.74033716e+03  3.04415555e+03  2.58624242e+03 
 2.18776162e+06  3.09475487e+03  2.54935972e+03 -3.69767378e+02 -5.09445284e+01  8.45605892e+02  1.15252394e+02  7.65179051e+02  3.10242300e+02 -2.63176153e+03 -1.06094597e+03 -2.08392778e+03 -1.71707709e+03  3.09735588e+03  2.55166287e+03 
 2.23872114e+06  3.14628981e+03  2.51426353e+03 -3.70312191e+02 -4.99198988e+01  8.46832132e+02  1.12929470e+02  7.69614528e+02  3.04585926e+02 -2.64685574e+03 -1.04155253e+03 -2.11863155e+03 -1.69345169e+03  3.14893472e+03  2.51654014e+03 
 2.29086765e+06  3.19622186e+03  2.47869794e+03 -3.70835291e+02 -4.89102055e+01  8.48009429e+02  1.10640604e+02  7.73885081e+02  2.98974179e+02 -2.66138719e+03 -1.02231576e+03 -2.15225594e+03 -1.66951037e+03  3.19890932e+03  2.48094769e+03 
 2.34422882e+06  3.24457103e+03  2.44273300e+03 -3.71337427e+02 -4.79155973e+01  8.49139480e+02  1.08386116e+02  7.77995413e+02  2.93410657e+02 -2.67537207e+03 -1.00324776e+03 -2.18481441e+03 -1.64530030e+03  3.24729967e+03  2.44495562e+03 
 2.39883292e+06  3.29135976e+03  2.40643548e+03 -3.71819333e+02 -4.69361941e+01  8.50223945e+02  1.06166262e+02  7.81950220e+02  2.87898666e+02 -2.68882650e+03 -9.84359667e+02 -2.21632208e+03 -1.62086646e+03  3.29412826e+03  2.40863076e+03 
 2.45470892e+06  3.33661269e+03  2.36986885e+03 -3.72281729e+02 -4.59720883e+01  8.51264448e+02  1.03981236e+02  7.85754168e+02  2.82441230e+02 -2.70176651e+03 -9.65661617e+02 -2.24679555e+03 -1.59625159e+03  3.33941975e+03  2.37203662e+03 
 2.51188643e+06  3.38035640e+03  2.33309328e+03 -3.72725313e+02 -4.50233464e+01  8.52262570e+02  1.01831174e+02  7.89411890e+02  2.77041102e+02 -2.71420799e+03 -9.47162850e+02 -2.27625270e+03 -1.57149621e+03  3.38320073e+03  2.33523346e+03 
 2.57039578e+06  3.42261914e+03  2.29616573e+03 -3.73150769e+02 -4.40900109e+01  8.53219855e+02  9.97161584e+01  7.92927973e+02  2.71700775e+02 -2.72616668e+03 -9.28871722e+02 -2.30471257e+03 -1.54663868e+03  3.42549948e+03  2.29827826e+03 
 2.63026799e+06  3.46343061e+03  2.25913996e+03 -3.73558761e+02 -4.31721015e+01  8.54137804e+02  9.76362207e+01  7.96306947e+02  2.66422500e+02 -2.73765809e+03 -9.10795757e+02 -2.33219514e+03 -1.52171523e+03  3.46634571e+03  2.26122484e+03 
 2.69153480e+06  3.50282171e+03  2.22206662e+03 -3.73949938e+02 -4.22696172e+01  8.55017878e+02  9.55913459e+01  7.99553281e+02  2.61208291e+02 -2.74869755e+03 -8.92941684e+02 -2.35872124e+03 -1.49675994e+03  3.50577038e+03  2.22412389e+03 
 2.75422870e+06  3.54082440e+03  2.18499329e+03 -3.74324927e+02 -4.13825370e+01  8.55861498e+02  9.35814747e+01  8.02671373e+02  2.56059943e+02 -2.75930009e+03 -8.75315482e+02 -2.38431238e+03 -1.47180488e+03  3.54380546e+03  2.18702304e+03 
 2.81838293e+06  3.57747146e+03  2.14796457e+03 -3.74684339e+02 -4.05108218e+01  8.56670042e+02  9.16065074e+01  8.05665543e+02  2.50979040e+02 -2.76948053e+03 -8.57922416e+02 -2.40899064e+03 -1.44688008e+03  3.58048374e+03  2.14996693e+03 
 2.88403150e+06  3.61279631e+03  2.11102221e+03 -3.75028769e+02 -3.96544156e+01  8.57444848e+02  8.96663065e+01  8.08540033e+02  2.45966966e+02 -2.77925335e+03 -8.40767081e+02 -2.43277852e+03 -1.42201366e+03  3.61583869e+03  2.11299734e+03 
 2.95120923e+06  3.64683288e+03  2.07420513e+03 -3.75358790e+02 -3.88132468e+01  8.58187214e+02  8.77606996e+01  8.11298994e+02  2.41024921e+02 -2.78863276e+03 -8.23853433e+02 -2.45569887e+03 -1.39723184e+03  3.64990427e+03  2.07615322e+03 
 3.01995172e+06  3.67961545e+03  2.03754956e+03 -3.75674959e+02 -3.79872294e+01  8.58898396e+02  8.58894823e+01  8.13946493e+02  2.36153925e+02 -2.79763266e+03 -8.07184836e+02 -2.47777477e+03 -1.37255902e+03  3.68271478e+03  2.03947084e+03 
 3.09029543e+06  3.71117850e+03  2.00108912e+03 -3.75977817e+02 -3.71762640e+01  8.59579612e+02  8.40524206e+01  8.16486498e+02  2.31354834e+02 -2.80626662e+03 -7.90764088e+02 -2.49902944e+03 -1.34801784e+03  3.71430472e+03  2.00298387e+03 
 3.16227766e+06  3.74155658e+03  1.96485495e+03 -3.76267885e+02 -3.63802391e+01  8.60232038e+02  8.22492533e+01  8.18922885e+02  2.26628348e+02 -2.81454786e+03 -7.74593462e+02 -2.51948615e+03 -1.32362928e+03  3.74470869e+03  1.96672345e+03 
 3.23593657e+06  3.77078423e+03  1.92887576e+03 -3.76545669e+02 -3.55990320e+01  8.60856813e+02  8.04796946e+01  8.21259433e+02  2.21975021e+02 -2.82248930e+03 -7.58674737e+02 -2.53916816e+03 -1.29941269e+03  3.77396125e+03  1.93071834e+03 
 3.31131121e+06  3.79889586e+03  1.89317800e+03 -3.76811655e+02 -3.48325100e+01  8.61455037e+02  7.87434362e+01  8.23499819e+02  2.17395269e+02 -2.83010349e+03 -7.43009231e+02 -2.55809864e+03 -1.27538588e+03  3.80209683e+03  1.89499500e+03 
