
Note: No compatibility mode selected!


Circuit: transistor-level tia private fixture

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Initial Transient Solution
--------------------------

Node                                   Voltage
xq_xvga2_3.s1                      6.25348e-09
xq_xvga2_3.t                                 0
xq_xvga2_4.s1                      1.32042e-09
xq_xvga2_4.t                                 0
xq_xvga2_5.s1                      1.32042e-09
xq_xvga2_5.t                                 0
xq_xvga2_6.s1                      6.25348e-09
xq_xvga2_6.t                                 0
vga2p                                  1.70171
xq_xvga2_7.s1                      2.64437e-09
xq_xvga2_7.t                                 0
vga2n                                  1.70171
xq_xvga2_8.s1                      2.64437e-09
xq_xvga2_8.t                                 0
xvga2__nbias                           1.38097
xif3p__base                            3.11584
xif3p__emitter                         2.23509
xq_xif3p_ef.s1                     1.62775e-09
xq_xif3p_ef.t                                0
bufinp                                 2.23507
xif3n__base                            3.11584
xif3n__emitter                         2.23509
xq_xif3n_ef.s1                     1.62775e-09
xq_xif3n_ef.t                                0
bufinn                                 2.23507
xbuf__e1                               1.30941
xq_xbuf_1.s1                       2.43065e-09
xq_xbuf_1.t                                  0
xbuf__e2                               1.30941
xq_xbuf_2.s1                       2.43065e-09
xq_xbuf_2.t                                  0
xbuf__nbias                            1.38097
finalp                                  2.7806
finaln                                  2.7806
pkdtap_p                                2.7806
pkdinp                                   2.092
pkdtap_n                                2.7806
pkdinn                                   2.092
detn                                   2.73788
detp                                   2.73788
pkdvcc                                 2.01797
xpkd__e8                                  1.19
xq_xpkd_8.s1                       7.81324e-10
xq_xpkd_8.t                                  0
xpkd__e7                                  1.19
xq_xpkd_7.s1                       7.81324e-10
xq_xpkd_7.t                                  0
xpkd__c1                               1.25829
xpkd__e1                              0.324838
xq_xpkd_1.s1                       4.89529e-10
xq_xpkd_1.t                                  0
xpkd__c2                               1.25829
xpkd__e2                              0.324838
xq_xpkd_2.s1                       4.89529e-10
xq_xpkd_2.t                                  0
xpkd__tail                            0.184366
xq_xpkd_3.s1                       1.08867e-09
xq_xpkd_3.t                                  0
xq_xpkd_4.s1                       1.08867e-09
xq_xpkd_4.t                                  0
xq_xpkd_5.s1                       1.08867e-09
xq_xpkd_5.t                                  0
xq_xpkd_6.s1                       1.08867e-09
xq_xpkd_6.t                                  0
xpkd__nbias                            1.38097
xagc__pkd_ref_gate                     1.41631
xagc__pkd_ref                         0.689918
xagc__agc_ref_gate                     1.85497
xagc__agc_ref                          1.07691
xagc__lp_p                             2.73668
xagc__lp_n                             2.73668
xagc__sfbias                          0.855391
xq_xagc_sfref.s1                   3.30968e-10
xq_xagc_sfref.t                              0
xagc__sf_p                             1.86768
xq_xagc_sfpsink.s1                 1.26095e-09
xq_xagc_sfpsink.t                            0
xagc__sf_n                             1.86768
xq_xagc_sfnsink.s1                 1.26095e-09
xq_xagc_sfnsink.t                            0
xq_xagc_sfp.s1                     1.63224e-09
xq_xagc_sfp.t                                0
xq_xagc_sfn.s1                     1.63224e-09
xq_xagc_sfn.t                                0
xagc__op4p                             1.78916
xagc__op4n                             1.78925
pkd                                   0.691133
xagc_xop4__nbias                      0.958444
xagc_xop4__etail                      0.821366
xagc_xop4__nleft                       2.20068
xagc_xop4__nfirst                      2.20783
xagc_xop5__nbias                      0.958444
xagc_xop5__etail                     0.0340109
xagc_xop5__nleft                       2.45514
xagc_xop5__nfirst                    0.0388333
xagc__op5_raw                          3.24977
l_xvga2_cr#branch                   0.00205569
l_xvga2_cl#branch                   0.00205569
l_xvga1_cr#branch                    0.0019811
l_xvga1_cl#branch                    0.0019811
v_tb_pkdn#branch                   3.98903e-07
v_tb_pkdp#branch                   3.98903e-07
v_tb_oa#branch                    -4.80001e-12
v_tb_mgc#branch                   -1.39992e-06
v_tb_mc#branch                               0
v_tb_vcc#branch                     -0.0650696


No. of Data Rows : 1008
ngspice-46 done
