 frequency       v(finalp,finaln) v(finalp,finaln)
 6.76082975e+07  4.65614265e+03  2.97655845e+02 
 6.91830971e+07  4.66912889e+03  2.89279991e+02 
 7.07945784e+07  4.68103995e+03  2.80551056e+02 
 7.24435960e+07  4.69195305e+03  2.71581562e+02 
 7.41310241e+07  4.70194584e+03  2.62462412e+02 
 7.58577575e+07  4.71109400e+03  2.53266252e+02 
 7.76247117e+07  4.71946976e+03  2.44050496e+02 
 7.94328235e+07  4.72714101e+03  2.34859970e+02 
 8.12830516e+07  4.73417077e+03  2.25729173e+02 
 8.31763771e+07  4.74061711e+03  2.16684189e+02 
 8.51138038e+07  4.74653319e+03  2.07744282e+02 
 8.70963590e+07  4.75196741e+03  1.98923223e+02 
 8.91250938e+07  4.75696372e+03  1.90230370e+02 
 9.12010839e+07  4.76156189e+03  1.81671563e+02 
 9.33254301e+07  4.76579788e+03  1.73249851e+02 
 9.54992586e+07  4.76970414e+03  1.64966073e+02 
 9.77237221e+07  4.77330994e+03  1.56819344e+02 
 1.00000000e+08  4.77664167e+03  1.48807431e+02 
 1.02329299e+08  4.77972313e+03  1.40927070e+02 
 1.04712855e+08  4.78257576e+03  1.33174208e+02 
 1.07151931e+08  4.78521892e+03  1.25544205e+02 
 1.09647820e+08  4.78767009e+03  1.18031994e+02 
 1.12201845e+08  4.78994502e+03  1.10632202e+02 
 1.14815362e+08  4.79205800e+03  1.03339256e+02 
 1.17489755e+08  4.79402190e+03  9.61474562e+01 
 1.20226443e+08  4.79584842e+03  8.90510411e+01 
 1.23026877e+08  4.79754812e+03  8.20442325e+01 
 1.25892541e+08  4.79913061e+03  7.51212728e+01 
 1.28824955e+08  4.80060459e+03  6.82764529e+01 
 1.31825674e+08  4.80197798e+03  6.15041318e+01 
 1.34896288e+08  4.80325797e+03  5.47987514e+01 
 1.38038426e+08  4.80445113e+03  4.81548469e+01 
 1.41253754e+08  4.80556340e+03  4.15670527e+01 
 1.44543977e+08  4.80660024e+03  3.50301062e+01 
 1.47910839e+08  4.80756660e+03  2.85388490e+01 
 1.51356125e+08  4.80846702e+03  2.20882265e+01 
 1.54881662e+08  4.80930563e+03  1.56732860e+01 
 1.58489319e+08  4.81008620e+03  9.28917386e+00 
 1.62181010e+08  4.81081220e+03  2.93113174e+00 
 1.65958691e+08  4.81148678e+03 -3.40550755e+00 
 1.69824365e+08  4.81211283e+03 -9.72532474e+00 
 1.73780083e+08  4.81269298e+03 -1.60328190e+01 
 1.77827941e+08  4.81322966e+03 -2.23324133e+01 
 1.81970086e+08  4.81372507e+03 -2.86284591e+01 
 1.86208714e+08  4.81418121e+03 -3.49252421e+01 
 1.90546072e+08  4.81459993e+03 -4.12269874e+01 
 1.94984460e+08  4.81498289e+03 -4.75378645e+01 
 1.99526231e+08  4.81533163e+03 -5.38619922e+01 
 2.04173794e+08  4.81564752e+03 -6.02034442e+01 
 2.08929613e+08  4.81593181e+03 -6.65662535e+01 
 2.13796209e+08  4.81618563e+03 -7.29544170e+01 
 2.18776162e+08  4.81641001e+03 -7.93719007e+01 
 2.23872114e+08  4.81660584e+03 -8.58226434e+01 
 2.29086765e+08  4.81677394e+03 -9.23105618e+01 
 2.34422882e+08  4.81691502e+03 -9.88395540e+01 
