 time            v(vinp)         v(vout)        
 1.57412075e-07  1.25000000e+00  1.23634853e+00 
 1.57437075e-07  1.25000000e+00  1.23638220e+00 
 1.57462075e-07  1.25000000e+00  1.23641509e+00 
 1.57487075e-07  1.25000000e+00  1.23644722e+00 
 1.57512075e-07  1.25000000e+00  1.23647861e+00 
 1.57537075e-07  1.25000000e+00  1.23650930e+00 
 1.57562075e-07  1.25000000e+00  1.23653930e+00 
 1.57587075e-07  1.25000000e+00  1.23656864e+00 
 1.57612075e-07  1.25000000e+00  1.23659733e+00 
 1.57637075e-07  1.25000000e+00  1.23662540e+00 
 1.57662075e-07  1.25000000e+00  1.23665286e+00 
 1.57687075e-07  1.25000000e+00  1.23667975e+00 
 1.57712075e-07  1.25000000e+00  1.23670608e+00 
 1.57737075e-07  1.25000000e+00  1.23673187e+00 
 1.57762075e-07  1.25000000e+00  1.23675713e+00 
 1.57787075e-07  1.25000000e+00  1.23678189e+00 
 1.57812075e-07  1.25000000e+00  1.23680616e+00 
 1.57837075e-07  1.25000000e+00  1.23682997e+00 
 1.57862075e-07  1.25000000e+00  1.23685332e+00 
 1.57887075e-07  1.25000000e+00  1.23687624e+00 
 1.57912075e-07  1.25000000e+00  1.23689874e+00 
 1.57937075e-07  1.25000000e+00  1.23692083e+00 
 1.57962075e-07  1.25000000e+00  1.23694253e+00 
 1.57987075e-07  1.25000000e+00  1.23696385e+00 
 1.58012075e-07  1.25000000e+00  1.23698481e+00 
 1.58037075e-07  1.25000000e+00  1.23700541e+00 
 1.58062075e-07  1.25000000e+00  1.23702567e+00 
 1.58087075e-07  1.25000000e+00  1.23704561e+00 
 1.58112075e-07  1.25000000e+00  1.23706523e+00 
 1.58137075e-07  1.25000000e+00  1.23708454e+00 
 1.58162075e-07  1.25000000e+00  1.23710356e+00 
 1.58187075e-07  1.25000000e+00  1.23712228e+00 
 1.58212075e-07  1.25000000e+00  1.23714073e+00 
 1.58237075e-07  1.25000000e+00  1.23715891e+00 
 1.58262075e-07  1.25000000e+00  1.23717683e+00 
 1.58287075e-07  1.25000000e+00  1.23719449e+00 
 1.58312075e-07  1.25000000e+00  1.23721191e+00 
 1.58337075e-07  1.25000000e+00  1.23722908e+00 
 1.58362075e-07  1.25000000e+00  1.23724602e+00 
 1.58387075e-07  1.25000000e+00  1.23726274e+00 
 1.58412075e-07  1.25000000e+00  1.23727923e+00 
 1.58437075e-07  1.25000000e+00  1.23729551e+00 
 1.58462075e-07  1.25000000e+00  1.23731157e+00 
 1.58487075e-07  1.25000000e+00  1.23732743e+00 
 1.58512075e-07  1.25000000e+00  1.23734309e+00 
 1.58537075e-07  1.25000000e+00  1.23735855e+00 
 1.58562075e-07  1.25000000e+00  1.23737381e+00 
 1.58587075e-07  1.25000000e+00  1.23738889e+00 
 1.58612075e-07  1.25000000e+00  1.23740378e+00 
 1.58637075e-07  1.25000000e+00  1.23741848e+00 
 1.58662075e-07  1.25000000e+00  1.23743301e+00 
 1.58687075e-07  1.25000000e+00  1.23744736e+00 
 1.58712075e-07  1.25000000e+00  1.23746153e+00 
 1.58737075e-07  1.25000000e+00  1.23747554e+00 
 1.58762075e-07  1.25000000e+00  1.23748937e+00 
 1.58787075e-07  1.25000000e+00  1.23750304e+00 
 1.58812075e-07  1.25000000e+00  1.23751655e+00 
 1.58837075e-07  1.25000000e+00  1.23752989e+00 
 1.58862075e-07  1.25000000e+00  1.23754307e+00 
 1.58887075e-07  1.25000000e+00  1.23755610e+00 
 1.58912075e-07  1.25000000e+00  1.23756897e+00 
 1.58937075e-07  1.25000000e+00  1.23758168e+00 
 1.58962075e-07  1.25000000e+00  1.23759424e+00 
 1.58987075e-07  1.25000000e+00  1.23760666e+00 
 1.59012075e-07  1.25000000e+00  1.23761892e+00 
 1.59037075e-07  1.25000000e+00  1.23763103e+00 
 1.59062075e-07  1.25000000e+00  1.23764300e+00 
 1.59087075e-07  1.25000000e+00  1.23765483e+00 
 1.59112075e-07  1.25000000e+00  1.23766651e+00 
 1.59137075e-07  1.25000000e+00  1.23767805e+00 
 1.59162075e-07  1.25000000e+00  1.23768946e+00 
 1.59187075e-07  1.25000000e+00  1.23770072e+00 
 1.59212075e-07  1.25000000e+00  1.23771185e+00 
 1.59237075e-07  1.25000000e+00  1.23772284e+00 
