
Note: No compatibility mode selected!


Circuit: transistor-level tia private fixture

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xagc__lp_n                             2.71365
xagc__sfbias                          0.855391
xq_xagc_sfref.s1                   3.30968e-10
xq_xagc_sfref.t                              0
xagc__sf_p                             1.84466
xq_xagc_sfpsink.s1                 1.24483e-09
xq_xagc_sfpsink.t                            0
xagc__sf_n                             1.84466
xq_xagc_sfnsink.s1                 1.24483e-09
xq_xagc_sfnsink.t                            0
xq_xagc_sfp.s1                     1.63224e-09
xq_xagc_sfp.t                                0
xq_xagc_sfn.s1                     1.63224e-09
xq_xagc_sfn.t                                0
xagc__op4p                             1.76767
xagc__op4n                             1.76775
pkd                                   0.691028
xagc_xop4__nbias                      0.958444
xagc_xop4__etail                      0.803904
xagc_xop4__nleft                       2.20103
xagc_xop4__nfirst                       2.2078
xagc_xop5__nbias                      0.958444
xagc_xop5__etail                     0.0339744
xagc_xop5__nleft                       2.45526
xagc_xop5__nfirst                    0.0387916
xagc__op5_raw                          3.24977
l_xvga2_cr#branch                   0.00205569
l_xvga2_cl#branch                   0.00205569
l_xvga1_cr#branch                    0.0019811
l_xvga1_cl#branch                    0.0019811
v_tb_bufn#branch                   1.09396e-06
v_tb_bufp#branch                   1.09396e-06
v_tb_oa#branch                    -4.80001e-12
v_tb_mgc#branch                   -1.39992e-06
v_tb_mc#branch                               0
v_tb_vcc#branch                     -0.0651303


No. of Data Rows : 1009
ngspice-46 done
